codigo_material,descricao,categoria,unidade_medida,preco_unitario,estoque_atual,estoque_minimo,fornecedor_principal,data_cadastro,ultima_movimentacao,status,centro_custo,ncm,localizacao_fisica,responsavel_cadastro
MAT-00099,Balde Latão,Limpeza,RL,3.07,136,,Nacional MNO,2025-03-16,2025-11-16,Ativo,PRO-001,73181711,,Ana Costa
MAT-00100,Catalisador Plástico,Químico,PCT,1393.38,258,303,Distribuidora XYZ,2026-01-02,2026-04-16,Inativo,LOG-002,39174807,B-14-05,Fernanda Rocha
MAT-00101,Anel Alumínio,Peças,CX,4.84,3086,170,Comercial DEF,2025-12-22,2026-04-08,Ativo,PRO-001,40169724,,Pedro Souza
MAT-00102,Capacete PVC,EPI,M,4.94,3930,,Fornecedor VWX,2025-04-24,2025-08-14,Ativo,ADM-001,73089488,D-12-02,Pedro Souza
MAT-00103,Parafuso M12 PVC,Fixação,RL,84.52,2221,487,Fornecedor VWX,2025-05-05,2025-06-12,Ativo,LOG-002,73181785,E-08-02,João Silva
MAT-00104,Alicate Cobre,Ferramentas,L,1145.67,1293,,Materiais STU,2024-12-27,2025-04-28,Ativo,MAN-001,73181887,A-19-02,João Silva
MAT-00105,Presilha Latão,Acessórios,UN,4.03,4058,105,Importadora JKL,2025-08-28,2026-01-26,Ativo,,40169565,F-18-05,Fernanda Rocha
MAT-00106,Clipe Plástico,Acessórios,KG,75.8,2107,,Comercial DEF,2025-10-09,2025-10-09,Ativo,LOG-002,84831976,F-13-04,Paula Lima
MAT-00107,Chave Inox,Ferramentas,RL,32.32,2136,,Industrial GHI,2025-01-09,2025-05-23,Ativo,ADM-001,84831111,C-12-02,João Silva
MAT-00108,Grampeador PVC,Escritório,GL,8.89,2547,,,2025-10-25,2026-03-25,Ativo,,85443589,,Paula Lima
MAT-00109,Bucha Plástico,Mecânico,M,6.84,4880,457,Distribuidora XYZ,2024-03-07,2024-12-25,Ativo,LOG-001,84831214,A-18-05,Ana Costa
MAT-00110,Desinfetante Inox,Limpeza,GL,71.23,4777,260,Distribuidora XYZ,2024-08-23,2024-08-23,Bloqueado,,73089525,D-19-01,Fernanda Rocha
MAT-00111,Papel Plástico,Escritório,UN,5.83,371,226,Nacional MNO,2025-04-14,2025-04-14,Ativo,,73181393,D-06-02,Ricardo Alves
MAT-00112,Sensor Latão,Eletrônico,PCT,71.45,4417,78,Nacional MNO,2025-01-28,2025-06-10,Ativo,PRO-001,39269954,A-01-03,Fernanda Rocha
MAT-00113,Grampeador Alumínio,Escritório,M,41.15,2258,106,,2024-08-15,2024-08-15,Ativo,LOG-002,00000000,A-20-01,Fernanda Rocha
MAT-00114,Detergente Inox,Limpeza,PCT,58.58,462,81,Fornecedor VWX,2024-04-06,2024-12-27,Ativo,ADM-001,84831891,F-11-02,Pedro Souza
MAT-00115,Clipe Inox,Acessórios,M²,1902.19,1434,330,Suprimentos PQR,2025-09-30,2026-03-19,Inativo,ADM-001,73269813,D-14-02,Pedro Souza
MAT-00116,Bucha Plástico,Mecânico,M,73.68,3793,478,Metalúrgica ABC,2025-08-19,2026-04-08,Ativo,MAN-002,39269361,,Fernanda Rocha
MAT-00117,Rolamento Alumínio,Peças,M,816.62,4955,318,,2025-02-09,2025-11-12,Ativo,MAN-002,00000000,C-10-01,Ana Costa
MAT-00118,Suporte Cobre,Acessórios,RL,6.99,1675,,Industrial GHI,2025-08-13,2026-01-18,Bloqueado,ADM-001,73269415,C-12-05,Fernanda Rocha
MAT-00119,Papelão Latão,Embalagem,M,47.25,4608,452,Industrial GHI,2025-11-15,2026-03-26,Inativo,,,C-08-04,Ana Costa
MAT-00120,Plástico PVC,Embalagem,RL,6.45,4018,245,Comercial DEF,2024-08-09,2024-09-19,Ativo,PRO-001,,,João Silva
MAT-00121,Rolamento Latão,Peças,M,386.96,1791,268,Materiais STU,2025-12-09,2026-08-13,Bloqueado,PRO-001,85369116,A-18-05,Ricardo Alves
MAT-00122,Prego Cobre,Fixação,M²,1645.0,3527,,,2026-02-06,2026-10-20,Ativo,LOG-002,39269734,E-09-03,Pedro Souza
MAT-00123,Óleo PVC,Lubrificante,RL,9.9,1850,163,,2025-01-13,2025-01-13,Ativo,MAN-002,39174486,E-16-01,João Silva
MAT-00124,Solvente Plástico,Químico,CX,8.59,781,468,Fornecedor VWX,2025-09-01,2025-11-19,Bloqueado,,73181176,F-09-05,João Silva
MAT-00125,cabo 16mm² Inox,Elétrico,KG,60.76,4642,437,Suprimentos PQR,2025-04-07,2025-07-16,Inativo,,85443909,F-03-05,Paula Lima
MAT-00126,Rebite Inox,Fixação,CX,6.18,4879,,Nacional MNO,2025-11-15,2025-11-15,Bloqueado,LOG-002,73269666,,Ricardo Alves
MAT-00127,Alicate Latão,Ferramentas,KG,393.02,1263,388,Suprimentos PQR,2024-05-31,2024-07-03,Ativo,MAN-001,85369468,C-04-02,Maria Santos
MAT-00128,Interruptor Alumínio,Elétrico,PCT,270.28,4540,57,Nacional MNO,2024-12-09,2025-05-06,Inativo,MAN-002,,E-08-05,Carlos Oliveira
MAT-00129,Caneta Inox,Escritório,M²,15.69,3560,151,Suprimentos PQR,2025-01-30,2025-07-24,Ativo,LOG-002,85369708,E-07-04,Maria Santos
MAT-00130,Cabo 6mm² Plástico,Elétrico,PCT,3.36,2742,230,,2025-04-18,2026-01-21,Ativo,MAN-002,73269281,D-11-03,Fernanda Rocha
MAT-00131,Pano Plástico,Limpeza,PCT,93.89,1636,313,Fornecedor VWX,2025-06-20,2025-06-20,Bloqueado,PRO-001,39269548,C-03-04,Fernanda Rocha
MAT-00132,Tomada Inox,Elétrico,L,7.91,605,239,,2024-05-16,2024-11-23,Inativo,ADM-001,73181909,C-18-05,Maria Santos
MAT-00133,Alicate Inox,Ferramentas,UN,6.49,3273,395,Nacional MNO,2025-06-14,2025-06-14,Ativo,LOG-001,40169327,E-17-05,Ana Costa
MAT-00134,Papelão Plástico,Embalagem,GL,1995.64,3954,63,Importadora JKL,2025-02-05,2025-03-26,Ativo,,40169451,D-07-05,Fernanda Rocha
MAT-00135,Resistor Plástico,Eletrônico,RL,37.02,942,21,,2024-10-24,2024-10-24,Ativo,ADM-001,,B-11-05,Ricardo Alves
MAT-00136,Papelão Cobre,Embalagem,PCT,76.36,1616,240,Suprimentos PQR,2025-07-01,2025-07-20,Ativo,MAN-001,84841691,A-18-02,Paula Lima
MAT-00137,Sensor Aço,Eletrônico,RL,6.43,4890,208,Suprimentos PQR,2025-08-06,2025-12-20,Bloqueado,,,F-10-05,Maria Santos
MAT-00138,Pasta Aço,Escritório,KG,1417.53,4184,,,2025-10-09,2026-02-09,Inativo,LOG-002,85369750,E-06-05,Carlos Oliveira
MAT-00139,Fita Inox,Embalagem,RL,8.67,78,258,Comercial DEF,2025-05-04,2025-12-28,Bloqueado,MAN-002,85369525,F-15-04,Carlos Oliveira
MAT-00140,Chave Latão,Ferramentas,M²,527.2,2364,96,Materiais STU,2024-07-25,2025-02-28,Ativo,ADM-001,84841374,E-12-05,João Silva
MAT-00141,Fluido Inox,Lubrificante,KG,6.57,2027,162,Metalúrgica ABC,2024-11-29,2024-11-29,Bloqueado,LOG-001,39269314,F-19-03,Ricardo Alves
MAT-00142,Disjuntor Latão,Elétrico,M,5.74,4360,153,Fornecedor VWX,2024-06-03,2024-08-01,Ativo,ADM-001,40169978,,Ricardo Alves
MAT-00143,Gancho Latão,Acessórios,L,74.03,2027,,,2025-12-25,2026-09-01,Ativo,,39174484,D-03-01,Ricardo Alves
MAT-00144,Óculos Plástico,EPI,CX,8.7,763,384,Materiais STU,2025-05-15,2025-08-17,Ativo,,39174323,,Pedro Souza
MAT-00145,LED Alumínio,Eletrônico,RL,8.95,396,33,Distribuidora XYZ,2025-05-09,2025-05-09,Ativo,LOG-002,85369567,A-14-02,Carlos Oliveira
MAT-00146,Gancho Inox,Acessórios,M²,784.83,675,200,Comercial DEF,2024-04-29,2024-04-29,Ativo,,84841820,A-01-02,Fernanda Rocha
MAT-00147,Serra Inox,Ferramentas,RL,1421.63,987,450,,2025-10-11,2025-10-11,Ativo,MAN-002,84841848,,Paula Lima
MAT-00148,Abraçadeira Plástico,Acessórios,L,6.8,560,281,Metalúrgica ABC,2025-04-23,2025-11-13,Ativo,PRO-001,39269743,F-05-04,Fernanda Rocha
MAT-00149,Rolamento Aço,Peças,PCT,48.64,1145,136,,2025-07-16,2026-03-25,Ativo,PRO-001,73181968,F-10-02,Ana Costa
MAT-00150,Base Cobre,Químico,RL,31.7,4865,46,,2025-01-18,2025-07-20,Ativo,LOG-002,39174981,E-14-03,Carlos Oliveira
MAT-00151,Óleo Aço,Lubrificante,UN,13.58,495,,Suprimentos PQR,2024-10-29,2025-08-09,Inativo,,39174184,F-18-05,Carlos Oliveira
MAT-00152,Mangueira Aço,Pneumático,M,1.64,2676,210,,2025-11-30,2026-02-05,Ativo,LOG-002,84841544,A-15-05,João Silva
MAT-00153,Válvula Aço,Pneumático,UN,1910.73,4284,,Importadora JKL,2024-04-12,2024-08-11,Ativo,,73269926,D-09-05,Maria Santos
MAT-00154,filtro Cobre,Pneumático,GL,54.96,4643,,Nacional MNO,2024-02-25,2024-12-01,Ativo,LOG-002,73089102,A-01-02,João Silva
MAT-00155,Papelão Inox,Embalagem,UN,9.15,3435,124,Nacional MNO,2025-02-16,2025-05-25,Ativo,ADM-001,73269222,E-02-02,Ana Costa
MAT-00156,óleo Plástico,Lubrificante,M²,3.18,707,293,Materiais STU,2024-09-13,2024-09-13,Ativo,PRO-001,,D-12-05,Fernanda Rocha
MAT-00157,Fluido Latão,Lubrificante,L,879.07,1908,287,,2025-08-07,2025-08-07,Ativo,LOG-001,,F-10-01,Ana Costa
MAT-00158,Bota Plástico,EPI,L,1.02,1896,469,Fornecedor VWX,2025-06-25,2025-12-29,Ativo,ADM-001,84841617,B-13-01,João Silva
MAT-00159,Correia Inox,Mecânico,CX,3.99,2672,,Materiais STU,2024-04-16,2024-07-19,Ativo,,84841259,,Fernanda Rocha
MAT-00160,Resistor Alumínio,Eletrônico,M,51.7,982,56,Comercial DEF,2025-01-03,2025-11-21,Ativo,LOG-002,73269251,A-08-03,Ricardo Alves
MAT-00161,Óculos PVC,EPI,L,868.35,3704,,Fornecedor VWX,2026-01-04,2026-01-04,Ativo,,73181163,B-05-02,Ricardo Alves
MAT-00162,Resistor Alumínio,Eletrônico,KG,222.5,3632,424,Comercial DEF,2024-03-23,2024-04-12,Ativo,MAN-002,73181272,,Fernanda Rocha
MAT-00163,Rebite Inox,Fixação,L,50.14,1217,27,Industrial GHI,2025-01-28,2025-06-24,Bloqueado,,84841386,D-05-04,Ana Costa
MAT-00164,Caneta Cobre,Escritório,GL,9.9,2941,255,Fornecedor VWX,2024-09-03,2025-05-06,Ativo,MAN-002,40169284,A-11-05,Ana Costa
MAT-00165,Parafuso M12 Latão,Fixação,M,1.09,1975,,Fornecedor VWX,2025-05-12,2025-08-25,Inativo,MAN-001,85443280,B-19-03,Paula Lima
MAT-00166,Suporte Cobre,Acessórios,L,1.96,4032,287,Importadora JKL,2024-06-28,2024-08-09,Ativo,LOG-002,84831324,A-17-04,João Silva
MAT-00167,Capacitor Latão,Eletrônico,CX,380.65,1160,,Distribuidora XYZ,2024-06-05,2024-06-05,Ativo,PRO-001,,A-11-03,Paula Lima
MAT-00168,Interruptor Latão,Elétrico,RL,1.82,4603,365,Nacional MNO,2025-09-15,2025-09-29,Inativo,MAN-001,40169230,B-01-05,Ricardo Alves
MAT-00169,Rolamento Inox,Peças,M,1.13,4064,82,Nacional MNO,2024-07-22,2024-12-16,Ativo,LOG-002,84841941,,João Silva
MAT-00170,Válvula em Cobre,Pneumático,KG,0.58,3589,385,Suprimentos PQR,2025-07-24,2026-02-09,Inativo,MAN-001,73089484,A-16-05,Ana Costa
