codigo_material,descricao,categoria,unidade_medida,status,desc_inicio_minusculo,categoria_inconsistente,uom_nao_maiusculo,total_problemas
MAT-03225,Item 3225 teste,MECANICO,lt,ativo,NAO,NAO,SIM,1
MAT-03226,Item 3226 teste,mecânico,Pc,ATIVO,NAO,NAO,SIM,1
MAT-03227,Item 3227 teste,MECANICO,Lt,INATIVO,NAO,NAO,SIM,1
MAT-03215,Item 3215 teste,MECANICO,und,ativo,NAO,NAO,SIM,1
MAT-03218,Item 3218 teste,hidraulico,pc,ATIVO,NAO,NAO,SIM,1
MAT-03204,Item 3204 teste,Elétrico,un,Inativo,NAO,NAO,SIM,1
MAT-03209,Item 3209 teste,Embalagem,Lt,Ativo,NAO,NAO,SIM,1
MAT-03210,Item 3210 teste,Embalagem,Un,Inativo,NAO,NAO,SIM,1
MAT-00124,Item 124 teste,hidraulico,lt,Inativo,NAO,NAO,SIM,1
MAT-00125,Item 125 teste,Mecânico,pc,ATIVO,NAO,NAO,SIM,1
MAT-00126,Item 126 teste,Elétrico,un,Ativo,NAO,NAO,SIM,1
MAT-00127,Item 127 teste,Elétrico,Und,ATIVO,NAO,NAO,SIM,1
MAT-00128,Item 128 teste,ELETRICO,und,ATIVO,NAO,NAO,SIM,1
MAT-00117,Item 117 teste,Escritório,cx,ATIVO,NAO,NAO,SIM,1
MAT-00118,Item 118 teste,hidraulico,Lt,ATIVO,NAO,NAO,SIM,1
MAT-00119,Item 119 teste,hidraulico,lt,ativo,NAO,NAO,SIM,1
MAT-00121,Item 121 teste,Escritório,Pc,Inativo,NAO,NAO,SIM,1
MAT-00122,Item 122 teste,Escritório,kg,Inativo,NAO,NAO,SIM,1
MAT-00108,Item 108 teste,Embalagem,lt,INATIVO,NAO,NAO,SIM,1
MAT-00109,Item 109 teste,Hidráulico,und,Ativo,NAO,NAO,SIM,1
MAT-00111,Item 111 teste,Mecânico,kg,Inativo,NAO,NAO,SIM,1
MAT-00112,Item 112 teste,MECANICO,cx,ativo,NAO,NAO,SIM,1
MAT-00115,Item 115 teste,Mecânico,und,ATIVO,NAO,NAO,SIM,1
MAT-00100,Item 100 teste,Embalagem,und,ATIVO,NAO,NAO,SIM,1
MAT-00101,Item 101 teste,mecânico,un,ATIVO,NAO,NAO,SIM,1
MAT-00106,Item 106 teste,ELETRICO,Un,INATIVO,NAO,NAO,SIM,1
MAT-00107,Item 107 teste,MECANICO,Un,Inativo,NAO,NAO,SIM,1
MAT-00156,Item 156 teste,ELETRICO,lt,ativo,NAO,NAO,SIM,1
MAT-00157,Item 157 teste,Mecânico,kg,ativo,NAO,NAO,SIM,1
MAT-00159,Item 159 teste,Escritório,Pc,ativo,NAO,NAO,SIM,1
MAT-00160,Item 160 teste,Embalagem,pc,Inativo,NAO,NAO,SIM,1
MAT-00161,Item 161 teste,Hidráulico,Und,Inativo,NAO,NAO,SIM,1
MAT-00162,Item 162 teste,Embalagem,cx,Inativo,NAO,NAO,SIM,1
MAT-00163,Item 163 teste,EMBALAGEM,l,Ativo,NAO,NAO,SIM,1
MAT-00148,Item 148 teste,EMBALAGEM,Kg,ATIVO,NAO,NAO,SIM,1
MAT-00150,Item 150 teste,EMBALAGEM,Pc,Ativo,NAO,NAO,SIM,1
MAT-00151,Item 151 teste,MECANICO,Un,Ativo,NAO,NAO,SIM,1
MAT-00152,Item 152 teste,hidraulico,pc,INATIVO,NAO,NAO,SIM,1
MAT-00153,Item 153 teste,Hidráulico,un,Ativo,NAO,NAO,SIM,1
MAT-00154,Item 154 teste,Embalagem,un,ativo,NAO,NAO,SIM,1
MAT-00155,Item 155 teste,EMBALAGEM,Kg,ativo,NAO,NAO,SIM,1
MAT-00141,Item 141 teste,Escritório,lt,Inativo,NAO,NAO,SIM,1
MAT-00143,Item 143 teste,EMBALAGEM,pc,ativo,NAO,NAO,SIM,1
MAT-00145,Item 145 teste,Mecânico,Pc,ativo,NAO,NAO,SIM,1
MAT-00147,Item 147 teste,EMBALAGEM,Pc,ATIVO,NAO,NAO,SIM,1
MAT-00132,Item 132 teste,hidraulico,cx,INATIVO,NAO,NAO,SIM,1
MAT-00133,Item 133 teste,MECANICO,kg,INATIVO,NAO,NAO,SIM,1
MAT-00134,Item 134 teste,Hidráulico,Lt,Ativo,NAO,NAO,SIM,1
MAT-00135,Item 135 teste,mecânico,Lt,ativo,NAO,NAO,SIM,1
MAT-00138,Item 138 teste,ELETRICO,Kg,ATIVO,NAO,NAO,SIM,1
MAT-03196,Item 3196 teste,Embalagem,Kg,ativo,NAO,NAO,SIM,1
MAT-03197,Item 3197 teste,Escritório,l,Inativo,NAO,NAO,SIM,1
MAT-03198,Item 3198 teste,Mecânico,lt,Ativo,NAO,NAO,SIM,1
MAT-03200,Item 3200 teste,hidraulico,Lt,INATIVO,NAO,NAO,SIM,1
MAT-03201,Item 3201 teste,hidraulico,kg,Inativo,NAO,NAO,SIM,1
MAT-03202,Item 3202 teste,MECANICO,cx,INATIVO,NAO,NAO,SIM,1
MAT-03203,Item 3203 teste,Mecânico,Und,ativo,NAO,NAO,SIM,1
MAT-03188,Item 3188 teste,EMBALAGEM,l,ATIVO,NAO,NAO,SIM,1
MAT-03190,Item 3190 teste,MECANICO,Un,ativo,NAO,NAO,SIM,1
MAT-03191,Item 3191 teste,Embalagem,un,Inativo,NAO,NAO,SIM,1
MAT-03192,Item 3192 teste,EMBALAGEM,pc,Inativo,NAO,NAO,SIM,1
MAT-03195,Item 3195 teste,mecânico,pc,INATIVO,NAO,NAO,SIM,1
MAT-03180,Item 3180 teste,Hidráulico,Pc,ativo,NAO,NAO,SIM,1
MAT-03182,Item 3182 teste,MECANICO,kg,INATIVO,NAO,NAO,SIM,1
MAT-03183,Item 3183 teste,Hidráulico,un,ATIVO,NAO,NAO,SIM,1
MAT-03185,Item 3185 teste,Escritório,Und,Inativo,NAO,NAO,SIM,1
MAT-03186,Item 3186 teste,ELETRICO,Un,ATIVO,NAO,NAO,SIM,1
MAT-03187,Item 3187 teste,mecânico,pc,ativo,NAO,NAO,SIM,1
MAT-03172,Item 3172 teste,Mecânico,Und,ativo,NAO,NAO,SIM,1
MAT-03176,Item 3176 teste,MECANICO,kg,INATIVO,NAO,NAO,SIM,1
MAT-03178,Item 3178 teste,hidraulico,l,Inativo,NAO,NAO,SIM,1
MAT-03179,Item 3179 teste,mecânico,Lt,Ativo,NAO,NAO,SIM,1
MAT-00188,Item 188 teste,Escritório,pc,ativo,NAO,NAO,SIM,1
MAT-00190,Item 190 teste,hidraulico,l,INATIVO,NAO,NAO,SIM,1
MAT-00192,Item 192 teste,hidraulico,l,ativo,NAO,NAO,SIM,1
MAT-00193,Item 193 teste,Embalagem,Und,ATIVO,NAO,NAO,SIM,1
MAT-00194,Item 194 teste,Mecânico,cx,Inativo,NAO,NAO,SIM,1
MAT-00195,Item 195 teste,Hidráulico,cx,INATIVO,NAO,NAO,SIM,1
MAT-00184,Item 184 teste,Mecânico,lt,ativo,NAO,NAO,SIM,1
MAT-00185,Item 185 teste,MECANICO,cx,ATIVO,NAO,NAO,SIM,1
MAT-00186,Item 186 teste,mecânico,und,INATIVO,NAO,NAO,SIM,1
MAT-00187,Item 187 teste,ELETRICO,lt,Inativo,NAO,NAO,SIM,1
MAT-00172,Item 172 teste,Mecânico,Kg,ATIVO,NAO,NAO,SIM,1
MAT-00175,Item 175 teste,Embalagem,Kg,ativo,NAO,NAO,SIM,1
MAT-00176,Item 176 teste,Mecânico,Pc,ATIVO,NAO,NAO,SIM,1
MAT-00177,Item 177 teste,Mecânico,Pc,ativo,NAO,NAO,SIM,1
MAT-00179,Item 179 teste,mecânico,lt,Ativo,NAO,NAO,SIM,1
MAT-00165,Item 165 teste,Mecânico,lt,INATIVO,NAO,NAO,SIM,1
MAT-00166,Item 166 teste,Mecânico,pc,Inativo,NAO,NAO,SIM,1
MAT-00168,Item 168 teste,Elétrico,kg,ativo,NAO,NAO,SIM,1
MAT-00221,Item 221 teste,Mecânico,Lt,INATIVO,NAO,NAO,SIM,1
MAT-00223,Item 223 teste,EMBALAGEM,Kg,INATIVO,NAO,NAO,SIM,1
MAT-00224,Item 224 teste,mecânico,l,ativo,NAO,NAO,SIM,1
MAT-00226,Item 226 teste,Escritório,kg,ATIVO,NAO,NAO,SIM,1
MAT-00227,Item 227 teste,MECANICO,und,Inativo,NAO,NAO,SIM,1
MAT-00212,Item 212 teste,Elétrico,Un,Ativo,NAO,NAO,SIM,1
MAT-00213,Item 213 teste,hidraulico,und,Ativo,NAO,NAO,SIM,1
MAT-00214,Item 214 teste,Elétrico,Pc,INATIVO,NAO,NAO,SIM,1
MAT-00215,Item 215 teste,EMBALAGEM,kg,ATIVO,NAO,NAO,SIM,1
MAT-00216,Item 216 teste,Mecânico,Kg,Ativo,NAO,NAO,SIM,1
MAT-00218,Item 218 teste,hidraulico,kg,ATIVO,NAO,NAO,SIM,1
MAT-00204,Item 204 teste,Hidráulico,Und,INATIVO,NAO,NAO,SIM,1
MAT-00205,Item 205 teste,MECANICO,und,Ativo,NAO,NAO,SIM,1
MAT-00206,Item 206 teste,Elétrico,und,Ativo,NAO,NAO,SIM,1
MAT-00207,Item 207 teste,Elétrico,l,Inativo,NAO,NAO,SIM,1
MAT-00211,Item 211 teste,MECANICO,Kg,Ativo,NAO,NAO,SIM,1
MAT-00196,Item 196 teste,Embalagem,pc,INATIVO,NAO,NAO,SIM,1
MAT-00199,Item 199 teste,mecânico,l,Ativo,NAO,NAO,SIM,1
MAT-00200,Item 200 teste,Hidráulico,und,ATIVO,NAO,NAO,SIM,1
MAT-00201,Item 201 teste,Hidráulico,un,Inativo,NAO,NAO,SIM,1
MAT-00202,Item 202 teste,Mecânico,lt,INATIVO,NAO,NAO,SIM,1
MAT-03164,Item 3164 teste,hidraulico,Pc,Inativo,NAO,NAO,SIM,1
MAT-03165,Item 3165 teste,MECANICO,Und,Ativo,NAO,NAO,SIM,1
MAT-03169,Item 3169 teste,Mecânico,lt,ativo,NAO,NAO,SIM,1
MAT-03170,Item 3170 teste,Mecânico,und,Inativo,NAO,NAO,SIM,1
MAT-03171,Item 3171 teste,Mecânico,lt,Inativo,NAO,NAO,SIM,1
MAT-03159,Item 3159 teste,MECANICO,und,ATIVO,NAO,NAO,SIM,1
MAT-03163,Item 3163 teste,Elétrico,pc,Ativo,NAO,NAO,SIM,1
MAT-03148,Item 3148 teste,hidraulico,un,ATIVO,NAO,NAO,SIM,1
MAT-03150,Item 3150 teste,Elétrico,un,ativo,NAO,NAO,SIM,1
MAT-03151,Item 3151 teste,Hidráulico,Kg,ativo,NAO,NAO,SIM,1
MAT-03154,Item 3154 teste,hidraulico,Kg,Ativo,NAO,NAO,SIM,1
MAT-03155,Item 3155 teste,EMBALAGEM,Lt,INATIVO,NAO,NAO,SIM,1
MAT-03140,Item 3140 teste,Escritório,Lt,ativo,NAO,NAO,SIM,1
MAT-03142,Item 3142 teste,Mecânico,pc,Ativo,NAO,NAO,SIM,1
MAT-03143,Item 3143 teste,MECANICO,kg,Inativo,NAO,NAO,SIM,1
MAT-03144,Item 3144 teste,MECANICO,Und,ATIVO,NAO,NAO,SIM,1
MAT-03145,Item 3145 teste,Escritório,cx,Ativo,NAO,NAO,SIM,1
MAT-03146,Item 3146 teste,Elétrico,Un,ativo,NAO,NAO,SIM,1
MAT-03147,Item 3147 teste,Hidráulico,Und,ATIVO,NAO,NAO,SIM,1
MAT-00252,Item 252 teste,Elétrico,Kg,ativo,NAO,NAO,SIM,1
MAT-00254,Item 254 teste,Embalagem,Pc,Ativo,NAO,NAO,SIM,1
MAT-00256,Item 256 teste,MECANICO,lt,INATIVO,NAO,NAO,SIM,1
MAT-00244,Item 244 teste,Embalagem,un,Ativo,NAO,NAO,SIM,1
MAT-00248,Item 248 teste,Embalagem,Lt,INATIVO,NAO,NAO,SIM,1
MAT-00249,Item 249 teste,Elétrico,un,ATIVO,NAO,NAO,SIM,1
MAT-00250,Item 250 teste,Mecânico,un,ATIVO,NAO,NAO,SIM,1
MAT-00251,Item 251 teste,Embalagem,Pc,INATIVO,NAO,NAO,SIM,1
MAT-00236,Item 236 teste,ELETRICO,l,INATIVO,NAO,NAO,SIM,1
MAT-00238,Item 238 teste,EMBALAGEM,und,Inativo,NAO,NAO,SIM,1
MAT-00239,Item 239 teste,EMBALAGEM,l,Inativo,NAO,NAO,SIM,1
MAT-00240,Item 240 teste,MECANICO,und,Ativo,NAO,NAO,SIM,1
MAT-00242,Item 242 teste,MECANICO,kg,ativo,NAO,NAO,SIM,1
MAT-00228,Item 228 teste,hidraulico,pc,ativo,NAO,NAO,SIM,1
MAT-00229,Item 229 teste,Escritório,Lt,INATIVO,NAO,NAO,SIM,1
MAT-00231,Item 231 teste,Elétrico,Un,INATIVO,NAO,NAO,SIM,1
MAT-00232,Item 232 teste,Mecânico,Lt,Inativo,NAO,NAO,SIM,1
MAT-00233,Item 233 teste,mecânico,kg,ATIVO,NAO,NAO,SIM,1
MAT-00235,Item 235 teste,ELETRICO,Und,INATIVO,NAO,NAO,SIM,1
MAT-03132,Item 3132 teste,ELETRICO,Lt,Inativo,NAO,NAO,SIM,1
MAT-03134,Item 3134 teste,hidraulico,Pc,ativo,NAO,NAO,SIM,1
MAT-03135,Item 3135 teste,ELETRICO,Lt,ATIVO,NAO,NAO,SIM,1
MAT-03137,Item 3137 teste,Embalagem,kg,Ativo,NAO,NAO,SIM,1
MAT-03138,Item 3138 teste,Elétrico,kg,ATIVO,NAO,NAO,SIM,1
MAT-03139,Item 3139 teste,EMBALAGEM,Und,ATIVO,NAO,NAO,SIM,1
MAT-03124,Item 3124 teste,ELETRICO,Und,Ativo,NAO,NAO,SIM,1
MAT-03125,Item 3125 teste,Elétrico,Lt,ativo,NAO,NAO,SIM,1
MAT-03126,Item 3126 teste,Hidráulico,Kg,INATIVO,NAO,NAO,SIM,1
MAT-03127,Item 3127 teste,MECANICO,Kg,INATIVO,NAO,NAO,SIM,1
MAT-03130,Item 3130 teste,Hidráulico,Pc,INATIVO,NAO,NAO,SIM,1
MAT-03131,Item 3131 teste,Hidráulico,Kg,Ativo,NAO,NAO,SIM,1
MAT-03116,Item 3116 teste,Escritório,lt,ATIVO,NAO,NAO,SIM,1
MAT-03117,Item 3117 teste,MECANICO,Lt,ativo,NAO,NAO,SIM,1
MAT-03119,Item 3119 teste,hidraulico,und,Ativo,NAO,NAO,SIM,1
MAT-03123,Item 3123 teste,Mecânico,kg,Ativo,NAO,NAO,SIM,1
MAT-03108,Item 3108 teste,MECANICO,pc,ATIVO,NAO,NAO,SIM,1
MAT-03110,Item 3110 teste,MECANICO,l,ATIVO,NAO,NAO,SIM,1
MAT-03111,Item 3111 teste,mecânico,lt,ativo,NAO,NAO,SIM,1
MAT-03114,Item 3114 teste,EMBALAGEM,Pc,Inativo,NAO,NAO,SIM,1
MAT-03115,Item 3115 teste,Embalagem,Un,Ativo,NAO,NAO,SIM,1
MAT-00284,Item 284 teste,MECANICO,un,ativo,NAO,NAO,SIM,1
MAT-00289,Item 289 teste,Mecânico,Un,Ativo,NAO,NAO,SIM,1
MAT-00290,Item 290 teste,Mecânico,cx,Inativo,NAO,NAO,SIM,1
MAT-00291,Item 291 teste,ELETRICO,cx,INATIVO,NAO,NAO,SIM,1
MAT-00276,Item 276 teste,Mecânico,Und,Ativo,NAO,NAO,SIM,1
MAT-00277,Item 277 teste,Mecânico,Un,Inativo,NAO,NAO,SIM,1
MAT-00278,Item 278 teste,MECANICO,kg,ativo,NAO,NAO,SIM,1
MAT-00279,Item 279 teste,Hidráulico,Kg,Ativo,NAO,NAO,SIM,1
MAT-00280,Item 280 teste,hidraulico,Kg,INATIVO,NAO,NAO,SIM,1
MAT-00283,Item 283 teste,Hidráulico,pc,ATIVO,NAO,NAO,SIM,1
MAT-00268,Item 268 teste,Elétrico,Und,Inativo,NAO,NAO,SIM,1
MAT-00272,Item 272 teste,Embalagem,Pc,Ativo,NAO,NAO,SIM,1
MAT-00273,Item 273 teste,Embalagem,un,Inativo,NAO,NAO,SIM,1
MAT-00274,Item 274 teste,hidraulico,Pc,Inativo,NAO,NAO,SIM,1
MAT-00275,Item 275 teste,MECANICO,Lt,Ativo,NAO,NAO,SIM,1
MAT-00261,Item 261 teste,mecânico,cx,INATIVO,NAO,NAO,SIM,1
MAT-00262,Item 262 teste,mecânico,l,ativo,NAO,NAO,SIM,1
MAT-00263,Item 263 teste,Hidráulico,kg,Ativo,NAO,NAO,SIM,1
MAT-00264,Item 264 teste,MECANICO,pc,INATIVO,NAO,NAO,SIM,1
MAT-00265,Item 265 teste,EMBALAGEM,Und,Inativo,NAO,NAO,SIM,1
MAT-00317,Item 317 teste,MECANICO,un,ativo,NAO,NAO,SIM,1
MAT-00318,Item 318 teste,Embalagem,Kg,INATIVO,NAO,NAO,SIM,1
MAT-00319,Item 319 teste,Embalagem,pc,ATIVO,NAO,NAO,SIM,1
MAT-00321,Item 321 teste,Hidráulico,Und,Ativo,NAO,NAO,SIM,1
MAT-00308,Item 308 teste,ELETRICO,cx,ATIVO,NAO,NAO,SIM,1
MAT-00309,Item 309 teste,hidraulico,cx,ativo,NAO,NAO,SIM,1
MAT-00312,Item 312 teste,mecânico,pc,INATIVO,NAO,NAO,SIM,1
MAT-00313,Item 313 teste,EMBALAGEM,pc,ativo,NAO,NAO,SIM,1
MAT-00314,Item 314 teste,Escritório,Und,INATIVO,NAO,NAO,SIM,1
MAT-00300,Item 300 teste,EMBALAGEM,cx,Inativo,NAO,NAO,SIM,1
MAT-00301,Item 301 teste,ELETRICO,cx,Inativo,NAO,NAO,SIM,1
MAT-00302,Item 302 teste,Embalagem,l,INATIVO,NAO,NAO,SIM,1
MAT-00305,Item 305 teste,MECANICO,l,ATIVO,NAO,NAO,SIM,1
MAT-00307,Item 307 teste,Elétrico,Kg,Inativo,NAO,NAO,SIM,1
MAT-00292,Item 292 teste,MECANICO,Un,ativo,NAO,NAO,SIM,1
MAT-00293,Item 293 teste,Elétrico,Un,Inativo,NAO,NAO,SIM,1
MAT-00298,Item 298 teste,Hidráulico,l,Inativo,NAO,NAO,SIM,1
MAT-00299,Item 299 teste,MECANICO,Kg,Ativo,NAO,NAO,SIM,1
MAT-03100,Item 3100 teste,hidraulico,lt,Inativo,NAO,NAO,SIM,1
MAT-03101,Item 3101 teste,Elétrico,Und,Inativo,NAO,NAO,SIM,1
MAT-03102,Item 3102 teste,MECANICO,Kg,INATIVO,NAO,NAO,SIM,1
MAT-03103,Item 3103 teste,Mecânico,Und,Inativo,NAO,NAO,SIM,1
MAT-03106,Item 3106 teste,mecânico,cx,ativo,NAO,NAO,SIM,1
MAT-03107,Item 3107 teste,Elétrico,Kg,ativo,NAO,NAO,SIM,1
MAT-03092,Item 3092 teste,MECANICO,kg,ativo,NAO,NAO,SIM,1
MAT-03093,Item 3093 teste,Escritório,un,ATIVO,NAO,NAO,SIM,1
MAT-03094,Item 3094 teste,mecânico,Und,ativo,NAO,NAO,SIM,1
MAT-03096,Item 3096 teste,Escritório,kg,INATIVO,NAO,NAO,SIM,1
MAT-03097,Item 3097 teste,Mecânico,Lt,INATIVO,NAO,NAO,SIM,1
MAT-03098,Item 3098 teste,ELETRICO,Pc,Ativo,NAO,NAO,SIM,1
MAT-03099,Item 3099 teste,ELETRICO,pc,ativo,NAO,NAO,SIM,1
MAT-03084,Item 3084 teste,ELETRICO,Pc,INATIVO,NAO,NAO,SIM,1
MAT-03085,Item 3085 teste,EMBALAGEM,kg,ATIVO,NAO,NAO,SIM,1
MAT-03086,Item 3086 teste,Mecânico,un,ATIVO,NAO,NAO,SIM,1
MAT-03088,Item 3088 teste,Hidráulico,kg,ativo,NAO,NAO,SIM,1
MAT-03089,Item 3089 teste,ELETRICO,l,INATIVO,NAO,NAO,SIM,1
MAT-03090,Item 3090 teste,hidraulico,Kg,Inativo,NAO,NAO,SIM,1
MAT-03091,Item 3091 teste,MECANICO,Und,ATIVO,NAO,NAO,SIM,1
MAT-03076,Item 3076 teste,mecânico,un,INATIVO,NAO,NAO,SIM,1
MAT-03077,Item 3077 teste,EMBALAGEM,Pc,INATIVO,NAO,NAO,SIM,1
MAT-03078,Item 3078 teste,Mecânico,l,Inativo,NAO,NAO,SIM,1
MAT-03079,Item 3079 teste,Elétrico,Lt,Inativo,NAO,NAO,SIM,1
MAT-03080,Item 3080 teste,Mecânico,Und,INATIVO,NAO,NAO,SIM,1
MAT-03081,Item 3081 teste,Hidráulico,Kg,INATIVO,NAO,NAO,SIM,1
MAT-03083,Item 3083 teste,ELETRICO,Un,Ativo,NAO,NAO,SIM,1
MAT-00351,Item 351 teste,hidraulico,lt,ativo,NAO,NAO,SIM,1
MAT-00352,Item 352 teste,Hidráulico,Un,Inativo,NAO,NAO,SIM,1
MAT-00353,Item 353 teste,MECANICO,Und,INATIVO,NAO,NAO,SIM,1
MAT-00355,Item 355 teste,Escritório,Un,ativo,NAO,NAO,SIM,1
MAT-00340,Item 340 teste,Escritório,cx,ativo,NAO,NAO,SIM,1
MAT-00341,Item 341 teste,hidraulico,Kg,ativo,NAO,NAO,SIM,1
