codigo_material,descricao,categoria,caminho,n_erros,n_alertas,erros,alertas
MAT-00138,Pasta Aço,Escritório,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00139,Fita Inox,Embalagem,CAMINHO_1,0,0,,
MAT-00140,Chave Latão,Ferramentas,CAMINHO_1,0,0,,
MAT-00141,Fluido Inox,Lubrificante,CAMINHO_2,0,1,,Parado 456 dias
MAT-00142,Disjuntor Latão,Elétrico,CAMINHO_2,0,1,,Parado 576 dias
MAT-00143,Gancho Latão,Acessórios,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00144,Óculos Plástico,EPI,CAMINHO_1,0,0,,
MAT-00145,LED Alumínio,Eletrônico,CAMINHO_1,0,0,,
MAT-00146,Gancho Inox,Acessórios,CAMINHO_2,0,1,,Parado 670 dias
MAT-00147,Serra Inox,Ferramentas,CAMINHO_2,0,1,,Sem fornecedor
MAT-00148,Abraçadeira Plástico,Acessórios,CAMINHO_1,0,0,,
MAT-00149,Rolamento Aço,Peças,CAMINHO_2,0,1,,Sem fornecedor
MAT-00150,Base Cobre,Químico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00151,Óleo Aço,Lubrificante,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00152,Mangueira Aço,Pneumático,CAMINHO_2,0,1,,Sem fornecedor
MAT-00153,Válvula Aço,Pneumático,CAMINHO_3,0,3,,Sem estoque minimo; Preco alto: R$1910.73 (revisar); Parado 566 dias
MAT-00154,filtro Cobre,Pneumático,CAMINHO_3,0,2,,Sem estoque minimo; Parado 454 dias
MAT-00155,Papelão Inox,Embalagem,CAMINHO_1,0,0,,
MAT-00156,óleo Plástico,Lubrificante,REJEITADO,1,1,NCM vazio,Parado 533 dias
MAT-00157,Fluido Latão,Lubrificante,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00158,Bota Plástico,EPI,CAMINHO_1,0,0,,
MAT-00159,Correia Inox,Mecânico,CAMINHO_3,0,2,,Sem estoque minimo; Parado 589 dias
MAT-00160,Resistor Alumínio,Eletrônico,CAMINHO_1,0,0,,
MAT-00161,Óculos PVC,EPI,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00162,Resistor Alumínio,Eletrônico,CAMINHO_2,0,1,,Parado 687 dias
MAT-00163,Rebite Inox,Fixação,CAMINHO_1,0,0,,
MAT-00164,Caneta Cobre,Escritório,CAMINHO_1,0,0,,
MAT-00165,Parafuso M12 Latão,Fixação,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00166,Suporte Cobre,Acessórios,CAMINHO_2,0,1,,Parado 568 dias
MAT-00167,Capacitor Latão,Eletrônico,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 633 dias
MAT-00168,Interruptor Latão,Elétrico,CAMINHO_1,0,0,,
MAT-00169,Rolamento Inox,Peças,CAMINHO_2,0,1,,Parado 439 dias
MAT-00170,Válvula em Cobre,Pneumático,CAMINHO_1,0,0,,
MAT-00171,"Cabo 2,5mm² Latão",Elétrico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00172,Desinfetante Aço,Limpeza,CAMINHO_2,0,1,,Parado 436 dias
MAT-00173,Parafuso M16 PVC,Fixação,CAMINHO_1,0,0,,
MAT-00174,LED Inox,Eletrônico,CAMINHO_1,0,0,,
MAT-00175,Bota Latão,EPI,CAMINHO_1,0,0,,
MAT-00176,Graxa Inox,Lubrificante,CAMINHO_1,0,0,,
MAT-00177,Luva XG Latão,EPI,CAMINHO_2,0,1,,Parado 474 dias
MAT-00178,Vassoura Aço,Limpeza,REJEITADO,1,0,NCM vazio,
MAT-00179,Conexão Latão,Pneumático,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00180,Spray Latão,Lubrificante,CAMINHO_2,0,1,,Parado 448 dias
MAT-00181,Base PVC,Químico,REJEITADO,1,0,NCM vazio,
MAT-00182,Conexão Aço,Pneumático,REJEITADO,1,0,NCM vazio,
MAT-00183,Base Plástico,Químico,REJEITADO,1,1,NCM vazio,Parado 482 dias
MAT-00184,Cilindro em Plástico,Pneumático,CAMINHO_3,0,2,,Sem estoque minimo; Parado 705 dias
MAT-00185,Conexão Plástico,Pneumático,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00186,Catalisador Latão,Químico,CAMINHO_1,0,0,,
MAT-00187,Etiqueta Aço,Embalagem,CAMINHO_1,0,0,,
MAT-00188,Resistor Aço,Eletrônico,CAMINHO_2,0,1,,Parado 385 dias
MAT-00189,Solvente PVC,Químico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00190,Catalisador Alumínio,Químico,REJEITADO,1,1,NCM vazio,Parado 537 dias
MAT-00191,Chave Plástico,Ferramentas,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00192,Ácido Cobre,Químico,CAMINHO_1,0,0,,
MAT-00193,Fluido Inox,Lubrificante,REJEITADO,1,0,NCM vazio,
MAT-00194,Lâmpada Aço,Elétrico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00195,Chave Latão,Ferramentas,CAMINHO_1,0,0,,
MAT-00196,Papel Inox,Escritório,CAMINHO_2,0,1,,Sem fornecedor
MAT-00197,Caixa Plástico,Embalagem,CAMINHO_3,0,2,,Sem estoque minimo; Parado 416 dias
MAT-00198,Porca M12 Alumínio,Fixação,CAMINHO_2,0,1,,Parado 663 dias
MAT-00199,furadeira PVC,Ferramentas,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00200,Anel Latão,Peças,CAMINHO_1,0,0,,
MAT-00201,Solvente Inox,Químico,CAMINHO_1,0,0,,
MAT-00202,etiqueta Alumínio,Embalagem,CAMINHO_1,0,0,,
MAT-00203,Bota Alumínio,EPI,CAMINHO_2,0,1,,Sem fornecedor
MAT-00204,Válvula Cobre,Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-00205,suporte Alumínio,Acessórios,CAMINHO_3,0,2,,Sem estoque minimo; Parado 396 dias
MAT-00206,Serra Latão,Ferramentas,CAMINHO_2,0,1,,Parado 471 dias
MAT-00207,Vedação Latão,Peças,REJEITADO,1,0,NCM vazio,
MAT-00208,Capacete Inox,EPI,REJEITADO,1,0,NCM vazio,
MAT-00209,Cabo 16mm² Latão,Elétrico,CAMINHO_3,0,2,,Sem estoque minimo; Parado 396 dias
MAT-00210,Grampeador Inox,Escritório,CAMINHO_1,0,0,,
MAT-00211,Válvula PVC,Pneumático,CAMINHO_2,0,1,,Preco alto: R$1916.92 (revisar)
MAT-00212,Caneta Aço,Escritório,CAMINHO_1,0,0,,
MAT-00213,Parafuso M6 Alumínio,Fixação,CAMINHO_1,0,0,,
MAT-00214,Capacete Cobre,EPI,CAMINHO_1,0,0,,
MAT-00215,Mangueira Inox,Pneumático,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00216,Mangueira PVC,Hidráulico,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00217,Rolamento PVC,Mecânico,CAMINHO_1,0,0,,
MAT-00218,Lâmpada Aço,Elétrico,REJEITADO,1,1,NCM vazio,Parado 407 dias
MAT-00219,Bota Cobre,EPI,CAMINHO_1,0,0,,
MAT-00220,Graxa Plástico,Lubrificante,CAMINHO_2,0,1,,Parado 528 dias
MAT-00221,Eixo em Aço,Mecânico,CAMINHO_3,0,2,,Sem estoque minimo; Parado 468 dias
MAT-00222,Bucha Plástico,Mecânico,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00223,Lâmpada Cobre,Elétrico,CAMINHO_3,0,2,,Sem fornecedor; Parado 368 dias
MAT-00224,Lâmpada Aço,Elétrico,CAMINHO_2,0,1,,Parado 395 dias
MAT-00225,Anel Inox,Peças,CAMINHO_3,0,2,,Sem estoque minimo; Parado 410 dias
MAT-00226,Martelo Alumínio,Ferramentas,CAMINHO_1,0,0,,
MAT-00227,clipe Latão,Acessórios,CAMINHO_3,0,2,,Sem estoque minimo; Parado 488 dias
MAT-00228,Óleo PVC,Lubrificante,CAMINHO_1,0,0,,
MAT-00229,Pasta PVC,Escritório,CAMINHO_3,0,2,,Sem estoque minimo; Parado 428 dias
MAT-00230,Pasta Cobre,Lubrificante,REJEITADO,1,1,NCM vazio,Parado 489 dias
MAT-00231,Presilha Aço,Acessórios,CAMINHO_2,0,1,,Parado 539 dias
MAT-00232,Registro Alumínio,Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-00233,Solvente Aço,Químico,CAMINHO_3,0,2,,Sem fornecedor; Parado 482 dias
MAT-00234,Óculos Aço,EPI,CAMINHO_1,0,0,,
MAT-00235,Chave Plástico,Ferramentas,CAMINHO_1,0,0,,
MAT-00236,Plástico Inox,Embalagem,REJEITADO,1,2,NCM vazio,Sem fornecedor; Preco alto: R$1517.70 (revisar)
MAT-00237,Óleo Aço,Lubrificante,CAMINHO_1,0,0,,
MAT-00238,bucha Inox,Mecânico,REJEITADO,1,0,NCM vazio,
MAT-00239,Módulo Latão,Eletrônico,CAMINHO_1,0,0,,
MAT-00240,Desinfetante em Latão,Limpeza,CAMINHO_2,0,1,,Parado 618 dias
MAT-00241,Spray PVC,Lubrificante,REJEITADO,1,1,NCM vazio,Parado 503 dias
MAT-00242,Sensor Aço,Eletrônico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00243,Caneta Cobre,Escritório,REJEITADO,1,0,NCM vazio,
MAT-00244,Gancho Cobre,Acessórios,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 460 dias
MAT-00245,Prego Latão,Fixação,CAMINHO_1,0,0,,
MAT-00246,Junta Plástico,Peças,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00247,Pasta PVC,Lubrificante,CAMINHO_2,0,1,,Sem fornecedor
MAT-00248,Fluido Inox,Lubrificante,CAMINHO_1,0,0,,
MAT-00249,Filtro Latão,Pneumático,REJEITADO,1,0,NCM vazio,
MAT-00250,tomada PVC,Elétrico,CAMINHO_1,0,0,,
MAT-00251,Óleo Alumínio,Lubrificante,CAMINHO_1,0,0,,
MAT-00252,Plástico PVC,Embalagem,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00253,Lâmpada Aço,Elétrico,CAMINHO_1,0,0,,
MAT-00254,Capacitor Cobre,Eletrônico,CAMINHO_2,0,1,,Parado 623 dias
MAT-00255,Papelão Alumínio,Embalagem,CAMINHO_2,0,1,,Parado 521 dias
MAT-00256,Etiqueta Plástico,Embalagem,CAMINHO_1,0,0,,
MAT-00257,LED Aço,Eletrônico,CAMINHO_2,0,1,,Parado 420 dias
MAT-00258,Módulo Cobre,Eletrônico,CAMINHO_1,0,0,,
MAT-00259,"Tubo 3/4"" Aço",Hidráulico,REJEITADO,1,1,NCM vazio,Parado 395 dias
MAT-00260,Lâmpada Plástico,Elétrico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00261,Desinfetante Plástico,Limpeza,CAMINHO_3,0,2,,Sem estoque minimo; Parado 563 dias
MAT-00262,Spray Alumínio,Lubrificante,CAMINHO_2,0,1,,Parado 658 dias
MAT-00263,Base Latão,Químico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00264,Abraçadeira Cobre,Acessórios,CAMINHO_1,0,0,,
MAT-00265,etiqueta Alumínio,Embalagem,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00266,Fita Plástico,Embalagem,CAMINHO_2,0,1,,Parado 577 dias
MAT-00267,Resistor Latão,Eletrônico,CAMINHO_2,0,1,,Parado 540 dias
MAT-00268,Rolamento PVC,Peças,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00269,Balde Aço,Limpeza,REJEITADO,1,1,Preco zerado,Parado 651 dias
MAT-00270,Conexão Inox,Pneumático,CAMINHO_2,0,1,,Parado 438 dias
MAT-00271,Fita Aço,Embalagem,REJEITADO,1,1,NCM vazio,Parado 407 dias
MAT-00272,Máscara Latão,EPI,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 610 dias
MAT-00273,Bucha Inox,Mecânico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00274,Martelo Aço,Ferramentas,CAMINHO_2,0,1,,Sem fornecedor
MAT-00275,Junta Plástico,Peças,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Preco alto: R$1552.62 (revisar)
MAT-00276,Anel Plástico,Peças,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 473 dias
MAT-00277,Catalisador Plástico,Químico,CAMINHO_1,0,0,,
MAT-00278,Lâmpada Inox,Elétrico,CAMINHO_2,0,1,,Parado 487 dias
MAT-00279,Base Aço,Químico,CAMINHO_1,0,0,,
MAT-00280,Mangueira Cobre,Pneumático,CAMINHO_1,0,0,,
MAT-00281,Rolamento Alumínio,Mecânico,CAMINHO_2,0,1,,Parado 457 dias
MAT-00282,Resistor Aço,Eletrônico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00283,Junta Latão,Peças,REJEITADO,1,0,NCM vazio,
MAT-00284,Catalisador Latão,Químico,CAMINHO_3,0,2,,Sem fornecedor; Parado 500 dias
MAT-00285,"Tubo 1.1/4"" Aço",Hidráulico,CAMINHO_1,0,0,,
MAT-00286,Filtro PVC,Pneumático,CAMINHO_2,0,1,,Parado 378 dias
MAT-00287,Clips PVC,Escritório,CAMINHO_3,0,2,,Sem estoque minimo; Parado 372 dias
MAT-00288,Caneta Alumínio,Escritório,REJEITADO,1,1,NCM vazio,Parado 375 dias
MAT-00289,Tomada Latão,Elétrico,CAMINHO_1,0,0,,
MAT-00290,Reagente Plástico,Químico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00291,Válvula Alumínio,Hidráulico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00292,Catalisador Inox,Químico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00293,Pano PVC,Limpeza,CAMINHO_3,0,2,,Sem estoque minimo; Preco alto: R$1853.29 (revisar)
MAT-00294,Registro PVC,Hidráulico,REJEITADO,1,1,NCM vazio,Preco alto: R$1842.80 (revisar)
MAT-00295,Desinfetante Alumínio,Limpeza,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 523 dias
MAT-00296,Retentor Plástico,Peças,CAMINHO_2,0,1,,Parado 539 dias
MAT-00297,Interruptor Aço,Elétrico,CAMINHO_1,0,0,,
MAT-00298,Válvula PVC,Hidráulico,REJEITADO,1,0,NCM vazio,
MAT-00299,Chave Inox,Ferramentas,CAMINHO_1,0,0,,
MAT-00300,Válvula Inox,Pneumático,CAMINHO_2,0,1,,Parado 511 dias
MAT-00301,Correia Inox,Mecânico,CAMINHO_1,0,0,,
MAT-00302,Ácido Cobre,Químico,CAMINHO_1,0,0,,
MAT-00303,clipe Latão,Acessórios,CAMINHO_1,0,0,,
MAT-00304,Clips Inox,Escritório,CAMINHO_1,0,0,,
MAT-00305,Balde Cobre,Limpeza,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00306,Mangueira Cobre,Hidráulico,CAMINHO_2,0,1,,Parado 669 dias
MAT-00307,Eixo Plástico,Mecânico,CAMINHO_2,0,1,,Parado 704 dias
MAT-00308,Cilindro PVC,Pneumático,CAMINHO_1,0,0,,
MAT-00309,Bucha Aço,Mecânico,CAMINHO_1,0,0,,
MAT-00310,Bucha Latão,Mecânico,REJEITADO,1,2,NCM vazio,Sem estoque minimo; Parado 494 dias
MAT-00311,Rolamento PVC,Mecânico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00312,Chave Aço,Ferramentas,REJEITADO,1,0,NCM vazio,
MAT-00313,Papelão Latão,Embalagem,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00314,Alicate Cobre,Ferramentas,CAMINHO_1,0,0,,
MAT-00315,Registro Inox,Hidráulico,CAMINHO_1,0,0,,
