codigo_material,descricao,categoria,status,dias_sem_movimento,classificacao_giro,faixa_movimento,valor_estoque,estoque_atual
MAT-00357,Suporte Latão,Acessórios,Ativo,625,Baixo,366-730 dias,343634.94,306
MAT-00466,Graxa Alumínio,Lubrificante,Bloqueado,624,Baixo,366-730 dias,443176.57999999996,3773
MAT-06001,BASE PLÁSTICO,Químico,Ativo,623,Baixo,366-730 dias,5410.412302820466,161
MAT-01092,Base Plástico,Químico,Ativo,623,Baixo,366-730 dias,0.0,161
MAT-01304,Alicate Plástico,Ferramentas,Ativo,623,Baixo,366-730 dias,9249.6,1968
MAT-00073,Sensor Alumínio,Eletrônico,Ativo,623,Baixo,366-730 dias,233450.87,2813
MAT-00254,Capacitor Cobre,Eletrônico,Ativo,622,Baixo,366-730 dias,2479473.9200000004,4574
MAT-06001,Fluido Cobre,Lubrificante,Ativo,622,Baixo,366-730 dias,17328.35091950304,3339
MAT-00783,Fluido Cobre,Lubrificante,Ativo,622,Baixo,366-730 dias,17629.920000000002,3339
MAT-00352,Grampeador Plástico,Escritório,Ativo,621,Baixo,366-730 dias,2402.0099999999998,2053
MAT-01034,Interruptor Cobre,Elétrico,Ativo,621,Baixo,366-730 dias,5929868.61,4791
MAT-01902,Módulo PVC,Eletrônico,Ativo,620,Baixo,366-730 dias,16097.94,342
MAT-01644,Porca M16 Cobre,Fixação,Ativo,620,Baixo,366-730 dias,34893.25,3925
MAT-02327,Óleo Alumínio,Lubrificante,Bloqueado,620,Baixo,366-730 dias,3777.18,1947
MAT-02009,Parafuso M12 Plástico,Fixação,Ativo,618,Baixo,366-730 dias,116087.51,1177
MAT-01140,Suporte Latão,Acessórios,Ativo,618,Baixo,366-730 dias,11388.300000000001,1914
MAT-00474,Disjuntor Aço,Elétrico,Ativo,617,Baixo,366-730 dias,582282.75,1689
MAT-00240,Desinfetante em Latão,Limpeza,Inativo,617,Baixo,366-730 dias,13779.48,1606
MAT-02951,Pasta Cobre,Escritório,Ativo,617,Baixo,366-730 dias,200418.74000000002,2474
MAT-06001,Desinfetante em Latão,Limpeza,Inativo,617,Baixo,366-730 dias,13489.933274176728,1606
MAT-02968,Óleo Cobre,Lubrificante,Ativo,615,Baixo,366-730 dias,7588903.3,4555
MAT-02237,Pasta Inox,Escritório,Ativo,615,Baixo,366-730 dias,0.0,1733
MAT-00704,Junta Cobre,Peças,Ativo,614,Baixo,366-730 dias,2503.44,366
MAT-02428,Papelão PVC,Embalagem,Ativo,614,Baixo,366-730 dias,378350.24000000005,4468
MAT-06001,Pasta Plástico,Escritório,Ativo,613,Baixo,366-730 dias,14228.314656897259,1905
MAT-01422,Pasta Plástico,Escritório,Ativo,613,Baixo,366-730 dias,13754.1,1905
MAT-01197,Ácido PVC,Químico,Ativo,612,Baixo,366-730 dias,0.0,1239
MAT-00670,Grampeador em Plástico,Escritório,Bloqueado,611,Baixo,366-730 dias,2483050.6799999997,1452
MAT-02411,Graxa Aço,Lubrificante,Ativo,611,Baixo,366-730 dias,1039617.5700000001,4443
MAT-00596,Serra PVC,Ferramentas,Ativo,609,Baixo,366-730 dias,2557.89,291
MAT-00272,Máscara Latão,EPI,Ativo,609,Baixo,366-730 dias,215029.08000000002,3493
MAT-02652,Filtro Plástico,Pneumático,Ativo,607,Baixo,366-730 dias,30627.18,3957
MAT-00802,Detergente Plástico,Limpeza,Bloqueado,607,Baixo,366-730 dias,45621.9,4986
MAT-00982,Base Alumínio,Químico,Ativo,606,Baixo,366-730 dias,4416543.53,3127
MAT-02510,Balde PVC,Limpeza,Ativo,606,Baixo,366-730 dias,121577.44,3932
MAT-02950,Tomada PVC,Elétrico,Bloqueado,605,Baixo,366-730 dias,33622.82,539
MAT-00773,Prego em Aço,Fixação,Ativo,604,Baixo,366-730 dias,57146.3,1805
MAT-00127,Alicate Latão,Ferramentas,Ativo,604,Baixo,366-730 dias,496384.25999999995,1263
MAT-01558,Furadeira Inox,Ferramentas,Ativo,603,Baixo,366-730 dias,31590.0,4212
MAT-00463,Etiqueta Inox,Embalagem,Ativo,603,Baixo,366-730 dias,4853.16,732
MAT-02758,Martelo PVC,Ferramentas,Bloqueado,603,Baixo,366-730 dias,10980.900000000001,4482
MAT-00383,Cilindro Latão,Pneumático,Ativo,603,Baixo,366-730 dias,6982.5599999999995,1492
MAT-02765,Resistor PVC,Eletrônico,Ativo,603,Baixo,366-730 dias,115535.50000000001,1345
MAT-00004,Plástico Inox,Embalagem,Bloqueado,602,Baixo,366-730 dias,4117.2,584
MAT-02019,Resistor Latão,Eletrônico,Ativo,602,Baixo,366-730 dias,2006178.33,3999
MAT-02067,Bota Latão,EPI,Ativo,601,Baixo,366-730 dias,22506.54,3921
MAT-01565,Suporte Inox,Acessórios,Ativo,601,Baixo,366-730 dias,567.32,2182
MAT-02489,Filtro Plástico,Pneumático,Ativo,601,Baixo,366-730 dias,11106.9,2709
MAT-01028,Rolamento Inox,Mecânico,Ativo,600,Baixo,366-730 dias,34920.97,3589
MAT-01999,Martelo PVC,Ferramentas,Ativo,600,Baixo,366-730 dias,4258612.5,4170
MAT-02025,Interruptor Aço,Elétrico,Ativo,600,Baixo,366-730 dias,9633.4,4915
MAT-06001,Interruptor Aço,Elétrico,Ativo,600,Baixo,366-730 dias,10015.222995889013,4915
MAT-02807,Abraçadeira em Alumínio,Acessórios,Ativo,598,Baixo,366-730 dias,3423.72,618
MAT-00537,Válvula em PVC,Hidráulico,Ativo,598,Baixo,366-730 dias,0.0,2694
MAT-06001,VÁLVULA EM PVC,Hidráulico,Ativo,598,Baixo,366-730 dias,3697312.367759091,2694
MAT-01180,Fluido Inox,Lubrificante,Ativo,598,Baixo,366-730 dias,4130.49,4641
MAT-02414,Porca M8 Latão,Fixação,Ativo,598,Baixo,366-730 dias,163248.80000000002,2854
MAT-01373,Óleo Alumínio,Lubrificante,Bloqueado,597,Baixo,366-730 dias,3401873.01,2493
MAT-02926,Bucha Latão,Mecânico,Ativo,597,Baixo,366-730 dias,324607.79000000004,4373
MAT-02179,Pasta Cobre,Lubrificante,Ativo,596,Baixo,366-730 dias,6693.96,2452
MAT-06001,PASTA COBRE,Lubrificante,Ativo,596,Baixo,366-730 dias,6736.886484647974,2452
MAT-00536,Suporte Plástico,Acessórios,Ativo,596,Baixo,366-730 dias,8761.77,3357
MAT-01785,Prego em PVC,Fixação,Ativo,595,Baixo,366-730 dias,60542.409999999996,1201
MAT-06001,Óleo Plástico,Lubrificante,Bloqueado,595,Baixo,366-730 dias,6705.220694434196,4971
MAT-02561,Óleo Plástico,Lubrificante,Bloqueado,595,Baixo,366-730 dias,6909.69,4971
MAT-00785,Papelão PVC,Embalagem,Ativo,594,Baixo,366-730 dias,3865772.7,2010
MAT-00022,abraçadeira PVC,Acessórios,Ativo,594,Baixo,366-730 dias,13041.12,1614
MAT-01802,"Tubo 2"" Plástico",Hidráulico,Ativo,594,Baixo,366-730 dias,35587.909999999996,4399
MAT-00429,Papel Inox,Escritório,Ativo,594,Baixo,366-730 dias,55651.1,1790
MAT-01640,Disjuntor Inox,Elétrico,Ativo,594,Baixo,366-730 dias,5607984.68,4868
MAT-00490,conexão Inox,Hidráulico,Inativo,594,Baixo,366-730 dias,32678.100000000002,1197
MAT-00834,Martelo Plástico,Ferramentas,Inativo,593,Baixo,366-730 dias,275361.07,3043
MAT-02273,Rebite Aço,Fixação,Ativo,593,Baixo,366-730 dias,36046.64,413
MAT-00694,Cilindro Plástico,Pneumático,Ativo,592,Baixo,366-730 dias,1038.22,1403
MAT-02798,Plástico Plástico,Embalagem,Ativo,592,Baixo,366-730 dias,89590.32,1593
MAT-01185,Porca M10 Plástico,Fixação,Ativo,592,Baixo,366-730 dias,332892.1,257
MAT-00612,Sensor PVC,Eletrônico,Inativo,592,Baixo,366-730 dias,690760.8,1773
MAT-06001,BUCHA LATÃO,Mecânico,Inativo,591,Baixo,366-730 dias,14084.578543938547,229
MAT-01219,"Tubo 1.1/4"" Plástico",Hidráulico,Ativo,591,Baixo,366-730 dias,148556.88,3604
MAT-02832,"Tubo 3/4"" Alumínio",Hidráulico,Ativo,591,Baixo,366-730 dias,23168.05,661
MAT-01058,Bucha Latão,Mecânico,Inativo,591,Baixo,366-730 dias,14333.11,229
MAT-02612,Porca M16 Aço,Fixação,Ativo,590,Baixo,366-730 dias,827007.84,1836
MAT-01354,LED Latão,Eletrônico,Ativo,589,Baixo,366-730 dias,24134.08,2846
MAT-02401,Lâmpada Plástico,Elétrico,Bloqueado,589,Baixo,366-730 dias,9078.02,854
MAT-00159,Correia Inox,Mecânico,Ativo,588,Baixo,366-730 dias,10661.28,2672
MAT-02721,Caneta Plástico,Escritório,Ativo,588,Baixo,366-730 dias,18518.0,2350
MAT-01397,Máscara Cobre,EPI,Ativo,588,Baixo,366-730 dias,1287068.13,2567
MAT-02860,Grampeador Aço,Escritório,Ativo,587,Baixo,366-730 dias,23670.96,3401
MAT-02893,Furadeira Latão,Ferramentas,Ativo,587,Baixo,366-730 dias,30467.3,4798
MAT-02518,Parafuso M12 Aço,Fixação,Ativo,587,Baixo,366-730 dias,454488.75,1775
MAT-06001,PARAFUSO M12 AÇO,Fixação,Ativo,587,Baixo,366-730 dias,0.0,1775
MAT-02767,Caneta Aço,Escritório,Inativo,587,Baixo,366-730 dias,404376.0,4980
MAT-00025,Bucha Inox,Mecânico,Bloqueado,586,Baixo,366-730 dias,1438.2,45
MAT-01624,Rolamento PVC,Mecânico,Ativo,586,Baixo,366-730 dias,461515.62000000005,4962
MAT-00735,Catalisador Inox,Químico,Ativo,585,Baixo,366-730 dias,8260.24,158
MAT-01253,Lâmpada Alumínio,Elétrico,Ativo,584,Baixo,366-730 dias,308.14,217
MAT-00868,Martelo PVC,Ferramentas,Ativo,583,Baixo,366-730 dias,4577863.36,4024
MAT-01483,Ácido Alumínio,Químico,Ativo,582,Baixo,366-730 dias,12027.960000000001,4662
MAT-00094,Pasta PVC,Lubrificante,Ativo,582,Baixo,366-730 dias,3384342.7199999997,3804
MAT-02591,Papelão Alumínio,Embalagem,Ativo,580,Baixo,366-730 dias,210.12,3
MAT-02596,Óleo Inox,Lubrificante,Ativo,580,Baixo,366-730 dias,2896.56,972
MAT-01135,Pasta em Alumínio,Lubrificante,Ativo,580,Baixo,366-730 dias,642589.48,373
MAT-00712,Parafuso M12 Latão,Fixação,Inativo,580,Baixo,366-730 dias,2203.2000000000003,288
MAT-00914,Vedação Alumínio,Peças,Bloqueado,580,Baixo,366-730 dias,53350.57,2093
MAT-00392,Rolamento Alumínio,Peças,Ativo,579,Baixo,366-730 dias,3948.45,2393
MAT-00804,Fita Alumínio,Embalagem,Ativo,579,Baixo,366-730 dias,27304.02,3186
MAT-02369,Conexão PVC,Pneumático,Inativo,579,Baixo,366-730 dias,80701.2,1044
MAT-00924,Tomada Aço,Elétrico,Ativo,578,Baixo,366-730 dias,7207.42,1991
MAT-01549,Presilha Latão,Acessórios,Inativo,578,Baixo,366-730 dias,21757.62,4233
MAT-02913,Rolamento Alumínio,Peças,Ativo,577,Baixo,366-730 dias,41595.75,4865
MAT-06001,Detergente Aço,Limpeza,Inativo,577,Baixo,366-730 dias,160664.72175478027,1658
MAT-01599,Pano Plástico,Limpeza,Ativo,577,Baixo,366-730 dias,35476.35,4485
MAT-02440,Detergente Aço,Limpeza,Inativo,577,Baixo,366-730 dias,0.0,1658
