codigo_material,descricao,categoria,estoque_sistema,estoque_fisico,divergencia_qtd,divergencia_perc,divergencia_valor,score_acuracidade,classe_acuracidade,valor_estoque,valor_estoque_fisico
MAT-06001,ENGRENAGEM INOX,Mecânico,2308,1990,-318,-13.78,-2464.694315337239,86.22,D,17888.410313831282,15423.715998494044
MAT-02031,Alicate Cobre,Ferramentas,1858,1603,-255,-13.72,-512.55,86.28,D,3734.5799999999995,3222.0299999999997
MAT-02401,Lâmpada Plástico,Elétrico,854,737,-117,-13.7,-1243.71,86.3,D,9078.02,7834.31
MAT-02366,Abraçadeira Aço,Acessórios,2231,1926,-305,-13.67,-204621.44999999998,86.33,D,1496755.59,1292134.14
MAT-01282,Gancho Latão,Acessórios,4597,3974,-623,-13.55,-2149.35,86.45,D,15859.650000000001,13710.300000000001
MAT-00492,Etiqueta Aço,Embalagem,2493,2156,-337,-13.52,-1246.9,86.48,D,9224.1,7977.200000000001
MAT-00645,Anel Plástico,Peças,3328,2881,-447,-13.43,-72150.27,86.57,D,537172.48,465022.20999999996
MAT-02049,Válvula Cobre,Hidráulico,920,797,-123,-13.37,-685.11,86.63,D,5124.400000000001,4439.29
MAT-01864,retentor Alumínio,Peças,549,476,-73,-13.3,-211.7,86.7,D,1592.1,1380.3999999999999
MAT-00450,Lâmpada Latão,Elétrico,3826,3317,-509,-13.3,-8668.27,86.7,D,65156.780000000006,56488.51
MAT-02270,Cilindro Aço,Pneumático,3100,2689,-411,-13.26,-1434.39,86.74,D,10819.0,9384.61
MAT-02057,Fita PVC,Embalagem,3852,3343,-509,-13.21,-3247.42,86.78999999999999,D,24575.76,21328.34
MAT-06001,PASTA INOX,Escritório,53,46,-7,-13.21,-26.59695394471369,86.78999999999999,D,201.37693700997508,174.7799830652614
MAT-01701,Retentor Cobre,Peças,4485,3897,-588,-13.11,-2416.6800000000003,86.89,D,18433.350000000002,16016.670000000002
MAT-01975,Pasta Plástico,Escritório,2673,2325,-348,-13.02,-581.16,86.98,D,4463.91,3882.75
MAT-00797,Conexão Cobre,Hidráulico,1209,1052,-157,-12.99,-276754.89,87.01,D,2131188.93,1854434.04
MAT-00442,Filtro Cobre,Pneumático,2238,1948,-290,-12.96,-60.9,87.03999999999999,D,469.97999999999996,409.08
MAT-02541,Conexão Cobre,Hidráulico,2339,2037,-302,-12.91,-1636.84,87.09,D,12677.38,11040.539999999999
MAT-06001,"Tubo 3/4"" PVC",Hidráulico,1958,1708,-250,-12.77,-2555.4071338987305,87.23,D,20013.948672694856,17458.541538796126
MAT-00167,Capacitor Latão,Eletrônico,1160,1012,-148,-12.76,-56336.2,87.24,D,441554.0,385217.8
MAT-00113,Grampeador Alumínio,Escritório,2258,1971,-287,-12.71,-11810.05,87.28999999999999,D,92916.7,81106.65
MAT-00230,Pasta Cobre,Lubrificante,1325,1157,-168,-12.68,-12253.92,87.32,D,96645.5,84391.58
MAT-00709,Óleo Inox,Lubrificante,4890,4275,-615,-12.58,-14052.75,87.42,D,111736.5,97683.75
MAT-00627,Disjuntor Plástico,Elétrico,3065,2681,-384,-12.53,-3252.4800000000005,87.47,D,25960.550000000003,22708.070000000003
MAT-02373,Balde Plástico,Limpeza,8,7,-1,-12.5,-552.96,87.5,D,4423.68,3870.7200000000003
MAT-00961,Parafuso M10 Aço,Fixação,8,7,-1,-12.5,-1191.29,87.5,D,9530.32,8339.029999999999
MAT-01020,Serra PVC,Ferramentas,3223,2821,-402,-12.47,-3079.32,87.53,D,24688.18,21608.86
MAT-00294,Registro PVC,Hidráulico,2706,2369,-337,-12.45,-621023.6,87.55,D,4986616.8,4365593.2
MAT-02828,Desinfetante Cobre,Limpeza,4953,4338,-615,-12.42,-16826.4,87.58,D,135514.08,118687.68
MAT-01019,Interruptor Inox,Elétrico,65,57,-8,-12.31,-47.84,87.69,D,388.70000000000005,340.86
MAT-06001,Fluido Cobre,Lubrificante,3339,2933,-406,-12.16,-2107.011222916512,87.84,D,17328.35091950304,15221.339696586525
MAT-00712,Parafuso M12 Latão,Fixação,288,253,-35,-12.15,-267.75,87.85,D,2203.2000000000003,1935.45
MAT-06001,ALICATE EM LATÃO,Ferramentas,2565,2254,-311,-12.12,-26469.096748597298,87.88,D,218306.21594904203,191837.11920044472
MAT-06001,ÓCULOS INOX,EPI,4544,3994,-550,-12.1,-114676.38065609439,87.9,D,947435.4067296236,832759.0260735292
MAT-02149,Solvente Aço,Químico,872,767,-105,-12.04,-1179.15,87.96000000000001,D,9792.56,8613.41
MAT-02989,Solvente Plástico,Químico,4705,4140,-565,-12.01,-637223.95,87.99,D,5306440.149999999,4669216.199999999
MAT-00295,Desinfetante Alumínio,Limpeza,2474,2178,-296,-11.96,-236.8,88.03999999999999,D,1979.2,1742.4
MAT-00333,Etiqueta Inox,Embalagem,3966,3492,-474,-11.95,-281560.74,88.05,D,2355843.66,2074282.92
MAT-00438,Balde PVC,Limpeza,746,657,-89,-11.93,-5504.650000000001,88.07,D,46140.1,40635.450000000004
MAT-02664,Ácido Cobre,Químico,4299,3787,-512,-11.91,-1387.52,88.09,D,11650.289999999999,10262.77
MAT-02234,Óculos Plástico,EPI,3683,3247,-436,-11.84,-34818.96,88.16,D,294124.38,259305.41999999998
MAT-02976,Fita Plástico,Embalagem,2536,2236,-300,-11.83,-7818.0,88.17,D,66088.16,58270.159999999996
MAT-02672,Junta Cobre,Peças,1811,1597,-214,-11.82,-2082.2200000000003,88.18,D,17621.030000000002,15538.810000000001
MAT-00105,Presilha Latão,Acessórios,4058,3579,-479,-11.8,-1930.3700000000001,88.2,D,16353.740000000002,14423.37
MAT-01304,Alicate Plástico,Ferramentas,1968,1737,-231,-11.74,-1085.7,88.26,D,9249.6,8163.900000000001
MAT-01317,Óculos Alumínio,EPI,1168,1031,-137,-11.73,-856.25,88.27,D,7300.0,6443.75
MAT-01389,Interruptor PVC,Elétrico,4083,3605,-478,-11.71,-2194.02,88.28999999999999,D,18740.97,16546.95
MAT-00934,Rebite PVC,Fixação,4014,3544,-470,-11.71,-41298.9,88.28999999999999,D,352710.18,311411.28
MAT-02970,Pasta Cobre,Escritório,4766,4214,-552,-11.58,-1308.24,88.42,D,11295.42,9987.18
MAT-01430,Eixo Alumínio,Mecânico,3021,2673,-348,-11.52,-2488.2000000000003,88.48,D,21600.15,19111.95
MAT-00417,Reagente Aço,Químico,792,701,-91,-11.49,-62838.229999999996,88.51,D,546899.76,484061.52999999997
MAT-06001,Tomada Latão,Elétrico,1842,1631,-211,-11.45,-149078.47428628488,88.55,D,1301433.8845276623,1152355.4102413773
MAT-01588,Correia PVC,Mecânico,3177,2818,-359,-11.3,-20861.49,88.7,D,184615.47,163753.98
MAT-02391,Fluido Aço,Lubrificante,3804,3375,-429,-11.28,-842980.71,88.72,D,7474821.96,6631841.25
MAT-06001,LED ALUMÍNIO,Eletrônico,1131,1005,-126,-11.14,-823.6571657806678,88.86,D,7393.3036071264705,6569.6464413458025
MAT-00029,Conexão Aço,Pneumático,1045,929,-116,-11.1,-976.72,88.9,D,8798.9,7822.18
MAT-01795,Plástico Alumínio,Embalagem,3062,2722,-340,-11.1,-21981.000000000004,88.9,D,197958.30000000002,175977.30000000002
MAT-00924,Tomada Aço,Elétrico,1991,1770,-221,-11.1,-800.02,88.9,D,7207.42,6407.400000000001
MAT-02723,Sensor Inox,Eletrônico,2074,1845,-229,-11.04,-5287.61,88.96000000000001,D,47888.659999999996,42601.05
MAT-01828,Lâmpada Inox,Elétrico,373,332,-41,-10.99,-10896.16,89.01,D,99128.48,88232.31999999999
MAT-02489,Filtro Plástico,Pneumático,2709,2414,-295,-10.89,-1209.5,89.11,D,11106.9,9897.4
MAT-01996,Resistor Inox,Eletrônico,2119,1890,-229,-10.81,-961.8000000000001,89.19,D,8899.800000000001,7938.0
MAT-01873,Arruela Aço,Fixação,1548,1381,-167,-10.79,-688.04,89.21000000000001,D,6377.76,5689.72
MAT-01760,Vassoura PVC,Limpeza,3254,2903,-351,-10.79,-24977.16,89.21000000000001,D,231554.63999999998,206577.47999999998
MAT-00381,Alicate Alumínio,Ferramentas,3797,3392,-405,-10.67,-435516.74999999994,89.33,D,4083103.9499999997,3647587.1999999997
MAT-00567,Etiqueta Cobre,Embalagem,3093,2765,-328,-10.6,-23907.920000000002,89.4,D,225448.77,201540.85
MAT-00976,Papelão PVC,Embalagem,4401,3935,-466,-10.59,-140247.36,89.41,D,1324524.96,1184277.5999999999
MAT-01615,Abraçadeira Inox,Acessórios,4057,3628,-429,-10.57,-17653.35,89.43,D,166945.55,149292.19999999998
MAT-00440,Fluido Latão,Lubrificante,4145,3707,-438,-10.57,-14344.5,89.43,D,135748.75,121404.25
MAT-01364,Plástico Aço,Embalagem,753,674,-79,-10.49,-6349.2300000000005,89.51,D,60518.61,54169.380000000005
MAT-06001,Papel PVC,Escritório,3097,2773,-324,-10.46,-175304.84057370014,89.53999999999999,D,1675676.2075825597,1500371.3670088595
MAT-01120,Tomada Alumínio,Elétrico,2264,2032,-232,-10.25,-1538.16,89.75,D,15010.32,13472.16
MAT-01078,Luva M Inox,EPI,3558,3194,-364,-10.23,-1266.72,89.77,D,12381.84,11115.12
MAT-06001,Caixa Plástico,Embalagem,4958,4451,-507,-10.23,-618334.2784876013,89.77,D,6046748.230259423,5428413.951771822
MAT-00877,Filtro Plástico,Pneumático,2409,2163,-246,-10.21,-189602.04,89.78999999999999,D,1856712.66,1667110.62
MAT-01112,Correia Inox,Mecânico,1306,1173,-133,-10.18,-87760.05,89.82,D,861764.1,774004.05
MAT-00445,Arruela Aço,Fixação,2281,2049,-232,-10.17,-16059.039999999999,89.83,D,157890.82,141831.78
MAT-00944,Reagente Plástico,Químico,2829,2544,-285,-10.07,-2405.3999999999996,89.93,D,23876.76,21471.359999999997
MAT-06001,Anel Cobre,Peças,4468,4021,-447,-10.0,-37645.845408637026,90.0,C,376290.016299307,338644.17089067
MAT-06001,Papelão Alumínio,Embalagem,4349,3915,-434,-9.98,-0.0,90.02,C,0.0,0.0
MAT-00315,Registro Inox,Hidráulico,4093,3685,-408,-9.97,-2639.7599999999998,90.03,C,26481.71,23841.95
MAT-01265,Martelo Plástico,Ferramentas,3403,3741,338,9.93,513043.44000000006,90.07,C,5165345.640000001,5678389.08
MAT-06001,Papel Latão,Escritório,4656,4195,-461,-9.9,-661219.2390988983,90.1,C,6678170.883393645,6016951.644294746
MAT-00424,Caneta Plástico,Escritório,2715,2983,268,9.87,21212.2,90.13,C,214892.25000000003,236104.45
MAT-02463,Mangueira Alumínio,Pneumático,2876,2592,-284,-9.87,-3376.76,90.13,C,34195.64,30818.88
MAT-01150,Clips Latão,Escritório,3042,2742,-300,-9.86,-469839.00000000006,90.14,C,4764167.46,4294328.46
MAT-00667,Alicate Inox,Ferramentas,2220,2439,219,9.86,10553.609999999999,90.14,C,106981.79999999999,117535.40999999999
MAT-02674,Sensor Cobre,Eletrônico,3083,2779,-304,-9.86,-478492.96,90.14,C,4852611.17,4374118.21
MAT-00488,Fluido Cobre,Lubrificante,173,156,-17,-9.83,-32633.03,90.17,C,332089.07,299456.04
MAT-00874,Papelão Inox,Embalagem,2251,2030,-221,-9.82,-280583.81,90.18,C,2857892.11,2577308.3
MAT-01692,Cabo Latão 6mm²,Elétrico,4515,4072,-443,-9.81,-4336.969999999999,90.19,C,44201.85,39864.88
MAT-06001,luva XG Alumínio,EPI,2872,2591,-281,-9.78,-10455.34804040985,90.22,C,106860.35434895761,96405.00630854776
MAT-01354,LED Latão,Eletrônico,2846,2570,-276,-9.7,-2340.48,90.3,C,24134.08,21793.600000000002
MAT-02003,Luva GG Latão,EPI,776,701,-75,-9.66,-193.5,90.34,C,2002.0800000000002,1808.5800000000002
MAT-02316,Porca M6 Plástico,Fixação,104,94,-10,-9.62,-805.9000000000001,90.38,C,8381.36,7575.46
MAT-00639,Pasta Plástico,Escritório,1700,1863,163,9.59,573.76,90.41,C,5984.0,6557.76
MAT-06001,Papel Latão,Escritório,2267,2484,217,9.57,9217.76322238963,90.43,C,96298.014862476,105515.77808486564
MAT-01956,Engrenagem PVC,Mecânico,4130,3735,-395,-9.56,-35929.2,90.44,C,375664.8,339735.6
MAT-00244,Gancho Cobre,Acessórios,189,171,-18,-9.52,-477.90000000000003,90.48,C,5017.95,4540.05
MAT-02420,Pano Latão,Limpeza,2825,2556,-269,-9.52,-524248.72000000003,90.48,C,5505586.0,4981337.28
MAT-01386,presilha Alumínio,Acessórios,4402,3983,-419,-9.52,-4529.39,90.48,C,47585.62,43056.23
MAT-00075,Gancho Cobre,Acessórios,694,628,-66,-9.51,-95487.48,90.49,C,1004065.32,908577.84
MAT-01435,Papel Plástico,Escritório,474,429,-45,-9.49,-2971.8,90.51,C,31302.960000000003,28331.160000000003
MAT-00309,Bucha Aço,Mecânico,1581,1431,-150,-9.49,-5325.0,90.51,C,56125.5,50800.5
MAT-01143,Ácido Cobre,Químico,3039,2751,-288,-9.48,-2413.44,90.52,C,25466.820000000003,23053.38
MAT-02218,Parafuso M12 Plástico,Fixação,1973,1787,-186,-9.43,-1845.12,90.57,C,19572.16,17727.04
MAT-01000,Tomada Latão,Elétrico,4140,3752,-388,-9.37,-713.9200000000001,90.63,C,7617.6,6903.68
MAT-01769,Alicate Latão,Ferramentas,2286,2072,-214,-9.36,-436.56,90.64,C,4663.4400000000005,4226.88
MAT-02237,Pasta Inox,Escritório,1733,1571,-162,-9.35,-0.0,90.65,C,0.0,0.0
MAT-02099,Catalisador Plástico,Químico,4053,3675,-378,-9.33,-1175.58,90.67,C,12604.83,11429.25
MAT-01092,Base Plástico,Químico,161,146,-15,-9.32,-0.0,90.68,C,0.0,0.0
MAT-00585,LED Inox,Eletrônico,2564,2326,-238,-9.28,-119430.78,90.72,C,1286640.84,1167210.06
MAT-01591,Suporte Aço,Acessórios,2532,2298,-234,-9.24,-6437.34,90.76,C,69655.32,63217.98
MAT-00827,Caneta Inox,Escritório,1604,1456,-148,-9.23,-1087.8,90.77,C,11789.4,10701.6
MAT-01417,Engrenagem PVC,Mecânico,3014,2736,-278,-9.22,-20152.219999999998,90.78,C,218484.86,198332.63999999998
MAT-01355,Etiqueta Plástico,Embalagem,4788,4350,-438,-9.15,-455.52000000000004,90.85,C,4979.52,4524.0
MAT-00304,Clips Inox,Escritório,2349,2135,-214,-9.11,-1343.92,90.89,C,14751.720000000001,13407.800000000001
MAT-02397,Lâmpada Aço,Elétrico,1581,1437,-144,-9.11,-10015.199999999999,90.89,C,109958.54999999999,99943.34999999999
MAT-06001,ALICATE PLÁSTICO,Ferramentas,3041,2765,-276,-9.08,-372597.7676055167,90.92,C,4105325.4032187546,3732727.635613238
MAT-02449,Bucha Inox,Mecânico,1612,1466,-146,-9.06,-1249.76,90.94,C,13798.720000000001,12548.960000000001
MAT-06001,Martelo PVC,Ferramentas,1119,1220,101,9.03,6450.955859476643,90.97,C,71471.4812549937,77922.43711447035
MAT-01358,Anel Inox,Peças,2387,2172,-215,-9.01,-23.65,90.99,C,262.57,238.92
MAT-01903,Papel Aço,Escritório,758,826,68,8.97,93.16000000000001,91.03,C,1038.46,1131.6200000000001
MAT-00826,Abraçadeira Latão,Acessórios,1878,1710,-168,-8.95,-177581.04,91.05,C,1985102.3399999999,1807521.3
MAT-02667,Clipe Plástico,Acessórios,3579,3259,-320,-8.94,-28169.6,91.06,C,315059.37,286889.77
MAT-01534,Alicate Alumínio,Ferramentas,2151,2343,192,8.93,56954.88,91.07,C,638072.64,695027.52
MAT-02452,Capacete Cobre,EPI,652,594,-58,-8.9,-340.46,91.1,C,3827.2400000000002,3486.78
MAT-00235,Chave Plástico,Ferramentas,2586,2816,230,8.89,547.4,91.11,C,6154.679999999999,6702.08
MAT-02389,Fita Latão,Embalagem,732,667,-65,-8.88,-514.8,91.12,C,5797.44,5282.64
MAT-01107,Caneta Plástico,Escritório,3766,4100,334,8.87,1940.54,91.13,C,21880.46,23821.0
MAT-01513,Caneta PVC,Escritório,408,372,-36,-8.82,-226.79999999999998,91.18,C,2570.4,2343.6
MAT-02952,Grampeador Inox,Escritório,454,414,-40,-8.81,-1766.0,91.19,C,20044.1,18278.1
MAT-00321,Conexão Cobre,Hidráulico,353,322,-31,-8.78,-755.78,91.22,C,8606.14,7850.36
MAT-02118,LED Plástico,Eletrônico,1248,1139,-109,-8.73,-475.24,91.27,C,5441.280000000001,4966.04
MAT-00520,Desinfetante Cobre,Limpeza,1275,1164,-111,-8.71,-1492.9499999999998,91.28999999999999,C,17148.75,15655.8
MAT-02732,Prego Latão,Fixação,4656,4252,-404,-8.68,-36739.76,91.32,C,423416.64,386676.88
MAT-00188,Resistor Aço,Eletrônico,1297,1185,-112,-8.64,-198.24,91.36,C,2295.69,2097.45
MAT-02509,Resistor Latão,Eletrônico,1432,1309,-123,-8.59,-8916.269999999999,91.41,C,103805.68,94889.40999999999
MAT-00602,Spray PVC,Lubrificante,1724,1576,-148,-8.58,-28639.48,91.42,C,333611.24,304971.76
MAT-00030,Correia Plástico,Mecânico,3453,3159,-294,-8.51,-28109.34,91.49,C,330141.33,302031.99
MAT-02499,Plástico PVC,Embalagem,1645,1506,-139,-8.45,-505.96000000000004,91.55,C,5987.8,5481.84
MAT-00459,Serra em Latão,Ferramentas,3518,3815,297,8.44,11978.01,91.56,C,141880.94,153858.94999999998
MAT-02708,Serra Latão,Ferramentas,4233,3876,-357,-8.43,-2727.48,91.57,C,32340.12,29612.64
MAT-02966,Porca M8 Cobre,Fixação,783,717,-66,-8.43,-38524.86,91.57,C,457044.93000000005,418520.07
MAT-00971,Caixa Latão,Embalagem,3798,3482,-316,-8.32,-2673.36,91.68,C,32131.08,29457.72
MAT-00410,Arruela Alumínio,Fixação,1742,1597,-145,-8.32,-1223.8,91.68,C,14702.48,13478.679999999998
MAT-02432,Rolamento Inox,Mecânico,4261,3907,-354,-8.31,-417.71999999999997,91.69,C,5027.98,4610.259999999999
MAT-02006,Pasta Plástico,Escritório,1432,1313,-119,-8.31,-1123.36,91.69,C,13518.08,12394.72
MAT-00644,Ácido Plástico,Químico,253,232,-21,-8.3,-763.77,91.7,C,9201.609999999999,8437.84
MAT-02140,Serra Plástico,Ferramentas,4293,3938,-355,-8.27,-3234.0499999999997,91.73,C,39109.229999999996,35875.18
MAT-00067,Abraçadeira Inox,Acessórios,3473,3186,-287,-8.26,-800.73,91.74,C,9689.67,8888.94
MAT-00919,Clipe Alumínio,Acessórios,4152,3810,-342,-8.24,-1525.32,91.76,C,18517.92,16992.6
MAT-01772,Retentor Plástico,Peças,549,504,-45,-8.2,-34644.15,91.8,C,422658.63,388014.48
MAT-00752,Graxa Latão,Lubrificante,3536,3246,-290,-8.2,-1200.6,91.8,C,14639.039999999999,13438.439999999999
