descricao,qtd_duplicatas,codigos_todos,codigo_manter,codigos_eliminar,categoria,valor_total_estoque,preco_medio,estoque_total
Fita Aço,10,"MAT-00271, MAT-00722, MAT-00794, MAT-00815, MAT-01089, MAT-02161, MAT-02835, MAT-02944, MAT-06001, MAT-06001",MAT-02161,"MAT-00271, MAT-00722, MAT-00794, MAT-00815, MAT-01089, MAT-02835, MAT-02944, MAT-06001, MAT-06001",Embalagem,13345689.30673328,454.0551339761058,26616
Suporte PVC,4,"MAT-00419, MAT-00534, MAT-01659, MAT-06001",MAT-00419,"MAT-00534, MAT-01659, MAT-06001",Acessórios,13201167.014325246,736.5889726219846,13086
Mangueira Inox,9,"MAT-00215, MAT-00685, MAT-00764, MAT-01340, MAT-01478, MAT-01553, MAT-01767, MAT-02186, MAT-02548",MAT-00685,"MAT-00215, MAT-00764, MAT-01340, MAT-01478, MAT-01553, MAT-01767, MAT-02186, MAT-02548",MÚLTIPLAS,13000010.299999999,497.7377777777777,19300
Rolamento PVC,20,"MAT-00034, MAT-00217, MAT-00268, MAT-00311, MAT-00332, MAT-01042, MAT-01269, MAT-01314, MAT-01479, MAT-01531, MAT-01607, MAT-01624, MAT-01729, MAT-01904, MAT-02098, MAT-02207, MAT-02468, MAT-02957, MAT-06001, MAT-06001",MAT-01729,"MAT-00034, MAT-00217, MAT-00268, MAT-00311, MAT-00332, MAT-01042, MAT-01269, MAT-01314, MAT-01479, MAT-01531, MAT-01607, MAT-01624, MAT-01904, MAT-02098, MAT-02207, MAT-02468, MAT-02957, MAT-06001, MAT-06001",MÚLTIPLAS,12819617.064236809,334.6796216844674,54133
furadeira PVC,5,"MAT-00199, MAT-01547, MAT-01970, MAT-02124, MAT-06001",MAT-00199,"MAT-01547, MAT-01970, MAT-02124, MAT-06001",Ferramentas,12729603.624685084,707.7315107689028,17951
Óculos Cobre,11,"MAT-00388, MAT-00688, MAT-00852, MAT-01162, MAT-01173, MAT-01183, MAT-01494, MAT-02500, MAT-06001, MAT-06001, MAT-06001",MAT-02500,"MAT-00388, MAT-00688, MAT-00852, MAT-01162, MAT-01173, MAT-01183, MAT-01494, MAT-06001, MAT-06001, MAT-06001",EPI,12699557.098344192,465.5577092247732,27355
graxa Aço,8,"MAT-00337, MAT-00545, MAT-00806, MAT-00829, MAT-01350, MAT-01675, MAT-01820, MAT-02411",MAT-00545,"MAT-00337, MAT-00806, MAT-00829, MAT-01350, MAT-01675, MAT-01820, MAT-02411",Lubrificante,12234370.34,406.30875000000003,23111
Alicate Plástico,10,"MAT-00533, MAT-00593, MAT-00751, MAT-01068, MAT-01304, MAT-01620, MAT-01637, MAT-02147, MAT-02777, MAT-06001",MAT-00593,"MAT-00533, MAT-00751, MAT-01068, MAT-01304, MAT-01620, MAT-01637, MAT-02147, MAT-02777, MAT-06001",Ferramentas,12176334.763218755,535.8771911614191,23535
Ácido Aço,9,"MAT-00577, MAT-01066, MAT-01095, MAT-01455, MAT-01678, MAT-01787, MAT-02399, MAT-02578, MAT-02691",MAT-02578,"MAT-00577, MAT-01066, MAT-01095, MAT-01455, MAT-01678, MAT-01787, MAT-02399, MAT-02691",Químico,12022324.75,346.70444444444445,20612
Rolamento Aço,13,"MAT-00149, MAT-00604, MAT-00908, MAT-00941, MAT-01012, MAT-01044, MAT-01568, MAT-01817, MAT-01859, MAT-01862, MAT-01917, MAT-02422, MAT-02610",MAT-00604,"MAT-00149, MAT-00908, MAT-00941, MAT-01012, MAT-01044, MAT-01568, MAT-01817, MAT-01859, MAT-01862, MAT-01917, MAT-02422, MAT-02610",MÚLTIPLAS,11911339.59,291.8438461538462,33889
Arruela Plástico,6,"MAT-00057, MAT-01030, MAT-02036, MAT-02650, MAT-02877, MAT-06001",MAT-02877,"MAT-00057, MAT-01030, MAT-02036, MAT-02650, MAT-06001",Fixação,11716338.19291259,496.3875237384893,16592
Bucha Latão,9,"MAT-00310, MAT-00535, MAT-01058, MAT-01259, MAT-02851, MAT-02887, MAT-02926, MAT-06001, MAT-06001",MAT-02926,"MAT-00310, MAT-00535, MAT-01058, MAT-01259, MAT-02851, MAT-02887, MAT-06001, MAT-06001",Mecânico,11664783.863502866,352.1162108028908,27975
Eixo Aço,7,"MAT-00435, MAT-00777, MAT-01193, MAT-01845, MAT-01922, MAT-02331, MAT-06001",MAT-01922,"MAT-00435, MAT-00777, MAT-01193, MAT-01845, MAT-02331, MAT-06001",Mecânico,11139367.915261395,514.536367286334,17486
Retentor Cobre,10,"MAT-00081, MAT-00988, MAT-01025, MAT-01215, MAT-01286, MAT-01701, MAT-01786, MAT-02418, MAT-02825, MAT-06001",MAT-02418,"MAT-00081, MAT-00988, MAT-01025, MAT-01215, MAT-01286, MAT-01701, MAT-01786, MAT-02825, MAT-06001",Peças,11081702.874993803,363.9277128980524,34027
Válvula Aço,12,"MAT-00080, MAT-00153, MAT-00738, MAT-00992, MAT-01525, MAT-01605, MAT-01718, MAT-01938, MAT-02535, MAT-02924, MAT-06001, MAT-06001",MAT-01605,"MAT-00080, MAT-00153, MAT-00738, MAT-00992, MAT-01525, MAT-01718, MAT-01938, MAT-02535, MAT-02924, MAT-06001, MAT-06001",MÚLTIPLAS,11011852.55643329,304.43310711835824,26200
Válvula Alumínio,7,"MAT-00291, MAT-00372, MAT-00494, MAT-00584, MAT-02110, MAT-02285, MAT-02622",MAT-02110,"MAT-00291, MAT-00372, MAT-00494, MAT-00584, MAT-02285, MAT-02622",MÚLTIPLAS,10994833.62,484.38428571428574,22242
Óleo Cobre,8,"MAT-00060, MAT-00701, MAT-01604, MAT-01763, MAT-01963, MAT-02013, MAT-02279, MAT-02968",MAT-01604,"MAT-00060, MAT-00701, MAT-01763, MAT-01963, MAT-02013, MAT-02279, MAT-02968",Lubrificante,10864613.81,419.94,23670
Chave Latão,13,"MAT-00009, MAT-00140, MAT-00195, MAT-00599, MAT-00810, MAT-01341, MAT-01662, MAT-01983, MAT-02555, MAT-02689, MAT-02800, MAT-06001, MAT-06001",MAT-01341,"MAT-00009, MAT-00140, MAT-00195, MAT-00599, MAT-00810, MAT-01662, MAT-01983, MAT-02555, MAT-02689, MAT-02800, MAT-06001, MAT-06001",Ferramentas,10799860.731296817,417.8005725243887,33324
Desinfetante Latão,12,"MAT-00356, MAT-00689, MAT-00737, MAT-00795, MAT-01225, MAT-01413, MAT-01706, MAT-02034, MAT-02122, MAT-02131, MAT-02584, MAT-06001",MAT-01413,"MAT-00356, MAT-00689, MAT-00737, MAT-00795, MAT-01225, MAT-01706, MAT-02034, MAT-02122, MAT-02131, MAT-02584, MAT-06001",Limpeza,10739693.68178354,357.89737331466876,33177
Fluido PVC,8,"MAT-00807, MAT-00885, MAT-01416, MAT-01509, MAT-01570, MAT-01645, MAT-01990, MAT-06001",MAT-01990,"MAT-00807, MAT-00885, MAT-01416, MAT-01509, MAT-01570, MAT-01645, MAT-06001",Lubrificante,10724775.51592431,386.9265504017888,23027
Cilindro Latão,7,"MAT-00052, MAT-00324, MAT-00383, MAT-00994, MAT-01400, MAT-02261, MAT-02632",MAT-00994,"MAT-00052, MAT-00324, MAT-00383, MAT-01400, MAT-02261, MAT-02632",Pneumático,10672494.93,402.6528571428572,21006
Válvula Inox,9,"MAT-00300, MAT-00493, MAT-01146, MAT-01190, MAT-01693, MAT-01710, MAT-02636, MAT-02665, MAT-02729",MAT-00493,"MAT-00300, MAT-01146, MAT-01190, MAT-01693, MAT-01710, MAT-02636, MAT-02665, MAT-02729",MÚLTIPLAS,10575673.01,400.56444444444446,29316
Etiqueta Inox,9,"MAT-00333, MAT-00463, MAT-01128, MAT-01436, MAT-02318, MAT-02429, MAT-02445, MAT-02854, MAT-06001",MAT-01128,"MAT-00333, MAT-00463, MAT-01436, MAT-02318, MAT-02429, MAT-02445, MAT-02854, MAT-06001",Embalagem,10520897.312697547,271.759934196004,17194
Martelo Cobre,13,"MAT-00501, MAT-00775, MAT-00886, MAT-01046, MAT-01105, MAT-01145, MAT-01203, MAT-01247, MAT-01459, MAT-02114, MAT-02309, MAT-02953, MAT-06001",MAT-01145,"MAT-00501, MAT-00775, MAT-00886, MAT-01046, MAT-01105, MAT-01203, MAT-01247, MAT-01459, MAT-02114, MAT-02309, MAT-02953, MAT-06001",Ferramentas,10518119.96579136,274.6132714296295,25293
Eixo Inox,3,"MAT-00013, MAT-02332, MAT-02685",MAT-02332,"MAT-00013, MAT-02685",Mecânico,10361157.22,1189.493333333333,8684
Registro PVC,6,"MAT-00002, MAT-00294, MAT-00669, MAT-01022, MAT-02623, MAT-02679",MAT-02679,"MAT-00002, MAT-00294, MAT-00669, MAT-01022, MAT-02623",Hidráulico,10239238.149999999,650.2866666666667,14771
Cabo 10mm² Plástico,2,"MAT-00091, MAT-01059",MAT-00091,MAT-01059,Elétrico,10078789.84,1404.745,6732
Vassoura Plástico,7,"MAT-00938, MAT-01667, MAT-01671, MAT-02113, MAT-02284, MAT-02330, MAT-02337",MAT-02113,"MAT-00938, MAT-01667, MAT-01671, MAT-02284, MAT-02330, MAT-02337",Limpeza,10073094.0,505.60714285714283,20208
Spray Alumínio,10,"MAT-00043, MAT-00262, MAT-01021, MAT-01697, MAT-01730, MAT-01752, MAT-01829, MAT-02134, MAT-02698, MAT-06001",MAT-01730,"MAT-00043, MAT-00262, MAT-01021, MAT-01697, MAT-01752, MAT-01829, MAT-02134, MAT-02698, MAT-06001",Lubrificante,9972390.739906318,435.75526314556816,15666
Arruela PVC,5,"MAT-00635, MAT-01382, MAT-01782, MAT-01892, MAT-06001",MAT-01892,"MAT-00635, MAT-01382, MAT-01782, MAT-06001",Fixação,9858942.527154628,517.4079064765065,15947
Pasta Inox,16,"MAT-00628, MAT-00706, MAT-00808, MAT-00996, MAT-01097, MAT-01136, MAT-01421, MAT-01472, MAT-01562, MAT-01932, MAT-02237, MAT-02324, MAT-02421, MAT-02795, MAT-02805, MAT-06001",MAT-01097,"MAT-00628, MAT-00706, MAT-00808, MAT-00996, MAT-01136, MAT-01421, MAT-01472, MAT-01562, MAT-01932, MAT-02237, MAT-02324, MAT-02421, MAT-02795, MAT-02805, MAT-06001",MÚLTIPLAS,9801052.03693701,242.73122280307783,34282
Pano Cobre,6,"MAT-01004, MAT-01158, MAT-01679, MAT-02490, MAT-06001, MAT-06001",MAT-01004,"MAT-01158, MAT-01679, MAT-02490, MAT-06001, MAT-06001",Limpeza,9708559.142499475,339.9879784957447,19781
Martelo PVC,10,"MAT-00582, MAT-00623, MAT-00868, MAT-01999, MAT-02199, MAT-02479, MAT-02758, MAT-02811, MAT-06001, MAT-06001",MAT-02758,"MAT-00582, MAT-00623, MAT-00868, MAT-01999, MAT-02199, MAT-02479, MAT-02811, MAT-06001, MAT-06001",Ferramentas,9585426.939941349,266.56007675242796,23870
máscara Inox,10,"MAT-00035, MAT-00692, MAT-00765, MAT-00925, MAT-00983, MAT-01689, MAT-01848, MAT-02030, MAT-02451, MAT-06001",MAT-02030,"MAT-00035, MAT-00692, MAT-00765, MAT-00925, MAT-00983, MAT-01689, MAT-01848, MAT-02451, MAT-06001",EPI,9388301.747529503,286.31848368115743,29693
Fluido Aço,9,"MAT-00405, MAT-00846, MAT-01824, MAT-02129, MAT-02182, MAT-02391, MAT-02467, MAT-02880, MAT-06001",MAT-00846,"MAT-00405, MAT-01824, MAT-02129, MAT-02182, MAT-02391, MAT-02467, MAT-02880, MAT-06001",Lubrificante,9319528.434756668,261.99588329780585,28652
Óleo Aço,9,"MAT-00151, MAT-00237, MAT-00725, MAT-00844, MAT-00931, MAT-01784, MAT-02438, MAT-02936, MAT-06001",MAT-00237,"MAT-00151, MAT-00725, MAT-00844, MAT-00931, MAT-01784, MAT-02438, MAT-02936, MAT-06001",Lubrificante,9241703.731693842,259.5972679779204,22665
Ácido Cobre,7,"MAT-00192, MAT-00302, MAT-00591, MAT-00782, MAT-01143, MAT-02664, MAT-02804",MAT-00302,"MAT-00192, MAT-00591, MAT-00782, MAT-01143, MAT-02664, MAT-02804",Químico,9191006.459999999,388.74000000000007,23458
Tomada Cobre,11,"MAT-00495, MAT-00658, MAT-00788, MAT-01401, MAT-01404, MAT-01468, MAT-01589, MAT-02243, MAT-02436, MAT-02446, MAT-06001",MAT-00658,"MAT-00495, MAT-00788, MAT-01401, MAT-01404, MAT-01468, MAT-01589, MAT-02243, MAT-02436, MAT-02446, MAT-06001",Elétrico,8858357.54096905,450.394812169976,22366
Vassoura Alumínio,4,"MAT-00617, MAT-01316, MAT-02132, MAT-02170",MAT-00617,"MAT-01316, MAT-02132, MAT-02170",Limpeza,8830945.5,714.6250000000001,12112
Desinfetante Plástico,5,"MAT-00261, MAT-00766, MAT-01765, MAT-02676, MAT-02937",MAT-02937,"MAT-00261, MAT-00766, MAT-01765, MAT-02676",Limpeza,8814520.32,359.94,15758
Óculos Inox,7,"MAT-00728, MAT-01931, MAT-02063, MAT-02231, MAT-02350, MAT-02948, MAT-06001",MAT-02231,"MAT-00728, MAT-01931, MAT-02063, MAT-02350, MAT-02948, MAT-06001",EPI,8763128.776729623,287.3932157548297,23728
Fluido Latão,10,"MAT-00157, MAT-00440, MAT-00838, MAT-01388, MAT-01906, MAT-01998, MAT-02212, MAT-02570, MAT-02603, MAT-06001",MAT-02212,"MAT-00157, MAT-00440, MAT-00838, MAT-01388, MAT-01906, MAT-01998, MAT-02570, MAT-02603, MAT-06001",Lubrificante,8760013.68,283.48400000000004,33951
Disjuntor Alumínio,6,"MAT-00812, MAT-01114, MAT-01806, MAT-01822, MAT-02891, MAT-06001",MAT-00812,"MAT-01114, MAT-01806, MAT-01822, MAT-02891, MAT-06001",Elétrico,8608333.87986974,726.780171400248,17230
Caixa Latão,10,"MAT-00368, MAT-00920, MAT-00971, MAT-01499, MAT-01766, MAT-01801, MAT-02271, MAT-02899, MAT-06001, MAT-06001",MAT-00920,"MAT-00368, MAT-00971, MAT-01499, MAT-01766, MAT-01801, MAT-02271, MAT-02899, MAT-06001, MAT-06001",Embalagem,8444350.300719915,316.36255767568866,32228
Martelo Plástico,7,"MAT-00834, MAT-01265, MAT-01779, MAT-02045, MAT-02277, MAT-02313, MAT-02980",MAT-02980,"MAT-00834, MAT-01265, MAT-01779, MAT-02045, MAT-02277, MAT-02313",Ferramentas,8424204.16,377.0614285714286,19373
Lâmpada Latão,8,"MAT-00450, MAT-00528, MAT-00564, MAT-00607, MAT-00835, MAT-01491, MAT-02719, MAT-06001",MAT-01491,"MAT-00450, MAT-00528, MAT-00564, MAT-00607, MAT-00835, MAT-02719, MAT-06001",Elétrico,8338114.857422017,428.81756095336516,23960
Papelão Plástico,6,"MAT-00134, MAT-01159, MAT-01425, MAT-01927, MAT-02508, MAT-02863",MAT-00134,"MAT-01159, MAT-01425, MAT-01927, MAT-02508, MAT-02863",Embalagem,8255235.87,629.3383333333333,11786
Óculos Alumínio,5,"MAT-00397, MAT-00569, MAT-01317, MAT-01484, MAT-02235",MAT-01484,"MAT-00397, MAT-00569, MAT-01317, MAT-02235",EPI,8232937.919999999,372.96999999999997,15536
Conexão Aço,17,"MAT-00029, MAT-00182, MAT-00402, MAT-00489, MAT-00603, MAT-00630, MAT-00716, MAT-00979, MAT-01292, MAT-01532, MAT-01985, MAT-02232, MAT-02307, MAT-02635, MAT-02714, MAT-02751, MAT-06001",MAT-02307,"MAT-00029, MAT-00182, MAT-00402, MAT-00489, MAT-00603, MAT-00630, MAT-00716, MAT-00979, MAT-01292, MAT-01532, MAT-01985, MAT-02232, MAT-02635, MAT-02714, MAT-02751, MAT-06001",MÚLTIPLAS,8151991.519705392,123.21007511221673,46535
Pano Latão,6,"MAT-00403, MAT-00997, MAT-01450, MAT-01811, MAT-01908, MAT-02420",MAT-00403,"MAT-00997, MAT-01450, MAT-01811, MAT-01908, MAT-02420",Limpeza,8108739.63,646.2666666666668,13806
Vassoura Latão,4,"MAT-01064, MAT-01147, MAT-02809, MAT-02946",MAT-01147,"MAT-01064, MAT-02809, MAT-02946",Limpeza,8033710.7,447.78499999999997,12580
Junta Cobre,4,"MAT-00704, MAT-00862, MAT-02672, MAT-02690",MAT-02690,"MAT-00704, MAT-00862, MAT-02672",Peças,8007425.57,651.22,7910
Filtro Inox,5,"MAT-00739, MAT-01456, MAT-01842, MAT-02151, MAT-02866",MAT-00739,"MAT-01456, MAT-01842, MAT-02151, MAT-02866",Pneumático,7999170.180000001,364.422,13145
Bucha Aço,9,"MAT-00309, MAT-00351, MAT-00833, MAT-01062, MAT-01600, MAT-02311, MAT-02660, MAT-02885, MAT-06001",MAT-01600,"MAT-00309, MAT-00351, MAT-00833, MAT-01062, MAT-02311, MAT-02660, MAT-02885, MAT-06001",Mecânico,7996812.4850803455,459.53504680165287,21209
Filtro Plástico,14,"MAT-00749, MAT-00825, MAT-00877, MAT-01102, MAT-02021, MAT-02055, MAT-02459, MAT-02489, MAT-02652, MAT-02684, MAT-02941, MAT-06001, MAT-06001, MAT-06001",MAT-02652,"MAT-00749, MAT-00825, MAT-00877, MAT-01102, MAT-02021, MAT-02055, MAT-02459, MAT-02489, MAT-02684, MAT-02941, MAT-06001, MAT-06001, MAT-06001",Pneumático,7994524.182431928,355.1309143309818,33704
Correia Cobre,9,"MAT-00900, MAT-01048, MAT-01156, MAT-01572, MAT-01911, MAT-02342, MAT-02549, MAT-02892, MAT-06001",MAT-01048,"MAT-00900, MAT-01156, MAT-01572, MAT-01911, MAT-02342, MAT-02549, MAT-02892, MAT-06001",Mecânico,7862867.338575158,318.74356309248293,23225
Óleo Alumínio,8,"MAT-00251, MAT-01373, MAT-01375, MAT-02088, MAT-02327, MAT-02513, MAT-02801, MAT-02984",MAT-01375,"MAT-00251, MAT-01373, MAT-02088, MAT-02327, MAT-02513, MAT-02801, MAT-02984",Lubrificante,7851046.67,582.63125,19050
Parafuso M10 Inox,3,"MAT-00937, MAT-02896, MAT-06001",MAT-00937,"MAT-02896, MAT-06001",Fixação,7828848.934098016,633.9284467019244,12027
Conexão Plástico,12,"MAT-00185, MAT-00578, MAT-00587, MAT-00864, MAT-01100, MAT-01495, MAT-02072, MAT-02174, MAT-02319, MAT-02962, MAT-02986, MAT-06001",MAT-00185,"MAT-00578, MAT-00587, MAT-00864, MAT-01100, MAT-01495, MAT-02072, MAT-02174, MAT-02319, MAT-02962, MAT-02986, MAT-06001",MÚLTIPLAS,7653989.828587831,286.70008871359147,31639
Base Alumínio,6,"MAT-00966, MAT-00982, MAT-01083, MAT-01524, MAT-02494, MAT-02930",MAT-00982,"MAT-00966, MAT-01083, MAT-01524, MAT-02494, MAT-02930",Químico,7592760.04,458.84,11136
Correia Latão,8,"MAT-00028, MAT-00393, MAT-00760, MAT-00935, MAT-01217, MAT-01505, MAT-02473, MAT-02977",MAT-01217,"MAT-00028, MAT-00393, MAT-00760, MAT-00935, MAT-01505, MAT-02473, MAT-02977",Mecânico,7589354.24,350.825,18812
Cabo 4mm² PVC,2,"MAT-01392, MAT-06001",MAT-01392,MAT-06001,Elétrico,7567834.830815208,868.4685369308249,8714
Capacitor Aço,9,"MAT-00616, MAT-01929, MAT-02015, MAT-02222, MAT-02246, MAT-02621, MAT-02774, MAT-02939, MAT-06001",MAT-02939,"MAT-00616, MAT-01929, MAT-02015, MAT-02222, MAT-02246, MAT-02621, MAT-02774, MAT-06001",Eletrônico,7525563.420329554,292.6930732314793,20387
Papel PVC,6,"MAT-00600, MAT-01300, MAT-01732, MAT-01878, MAT-02242, MAT-06001",MAT-02242,"MAT-00600, MAT-01300, MAT-01732, MAT-01878, MAT-06001",Escritório,7464024.837582559,373.02905379305565,15017
Papelão Alumínio,9,"MAT-00255, MAT-00743, MAT-00793, MAT-01746, MAT-02268, MAT-02394, MAT-02470, MAT-02591, MAT-06001",MAT-02268,"MAT-00255, MAT-00743, MAT-00793, MAT-01746, MAT-02394, MAT-02470, MAT-02591, MAT-06001",Embalagem,7460749.35,226.37,19299
óleo Plástico,15,"MAT-00156, MAT-00460, MAT-01084, MAT-01330, MAT-01744, MAT-01965, MAT-01971, MAT-02109, MAT-02155, MAT-02371, MAT-02380, MAT-02556, MAT-02561, MAT-06001, MAT-06001",MAT-02556,"MAT-00156, MAT-00460, MAT-01084, MAT-01330, MAT-01744, MAT-01965, MAT-01971, MAT-02109, MAT-02155, MAT-02371, MAT-02380, MAT-02561, MAT-06001, MAT-06001",Lubrificante,7379557.349530759,121.5443367528044,47363
Filtro PVC,17,"MAT-00286, MAT-00446, MAT-00625, MAT-00779, MAT-00951, MAT-01160, MAT-01302, MAT-01703, MAT-02121, MAT-02185, MAT-02338, MAT-02590, MAT-02663, MAT-02741, MAT-06001, MAT-06001, MAT-06001",MAT-01302,"MAT-00286, MAT-00446, MAT-00625, MAT-00779, MAT-00951, MAT-01160, MAT-01703, MAT-02121, MAT-02185, MAT-02338, MAT-02590, MAT-02663, MAT-02741, MAT-06001, MAT-06001, MAT-06001",Pneumático,7368924.27011888,202.8672523736908,54230
Resistor Alumínio,6,"MAT-00160, MAT-00162, MAT-00546, MAT-01155, MAT-01348, MAT-02320",MAT-00546,"MAT-00160, MAT-00162, MAT-01155, MAT-01348, MAT-02320",Eletrônico,7360842.930000001,311.6116666666667,14647
Plástico Latão,7,"MAT-00787, MAT-00964, MAT-01585, MAT-01601, MAT-02615, MAT-02969, MAT-06001",MAT-02969,"MAT-00787, MAT-00964, MAT-01585, MAT-01601, MAT-02615, MAT-06001",Embalagem,7304483.850254725,282.5228229718138,16795
Solvente Plástico,5,"MAT-00124, MAT-01398, MAT-01652, MAT-02989, MAT-06001",MAT-02989,"MAT-00124, MAT-01398, MAT-01652, MAT-06001",Químico,7220801.204811404,598.2070092049491,11370
Retentor Latão,4,"MAT-00418, MAT-01757, MAT-02378, MAT-02718",MAT-02718,"MAT-00418, MAT-01757, MAT-02378",Peças,7184290.95,475.7925,7394
