codigo_material,descricao,status,caminho,sla_horas,motivos
MAT-00130,Cabo 6mm² Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00131,Pano Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00132,Tomada Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00133,Alicate Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00134,Papelão Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00135,Resistor Plástico,REJEITADO,0,0,NCM vazio; Unidade 'RL' não padronizada
MAT-00136,Papelão Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00137,Sensor Aço,REJEITADO,0,0,NCM vazio; Unidade 'RL' não padronizada
MAT-00138,Pasta Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00139,Fita Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00140,Chave Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00141,Fluido Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00142,Disjuntor Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00143,Gancho Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00144,Óculos Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00145,LED Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00146,Gancho Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00147,Serra Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00148,Abraçadeira Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00149,Rolamento Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00150,Base Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00151,Óleo Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00152,Mangueira Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00153,Válvula Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00154,filtro Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00155,Papelão Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00156,óleo Plástico,REJEITADO,0,0,NCM vazio; Unidade 'M²' não padronizada
MAT-00157,Fluido Latão,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00158,Bota Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00159,Correia Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00160,Resistor Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00161,Óculos PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00162,Resistor Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00163,Rebite Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00164,Caneta Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00165,Parafuso M12 Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00166,Suporte Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00167,Capacitor Latão,REJEITADO,0,0,NCM vazio
MAT-00168,Interruptor Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00169,Rolamento Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00170,Válvula em Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00171,"Cabo 2,5mm² Latão",REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00172,Desinfetante Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00173,Parafuso M16 PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00174,LED Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00175,Bota Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00176,Graxa Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00177,Luva XG Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00178,Vassoura Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00179,Conexão Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00180,Spray Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00181,Base PVC,REJEITADO,0,0,NCM vazio; Unidade 'GL' não padronizada
MAT-00182,Conexão Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00183,Base Plástico,REJEITADO,0,0,NCM vazio
MAT-00184,Cilindro em Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00185,Conexão Plástico,REJEITADO,0,0,NCM vazio
MAT-00186,Catalisador Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00187,Etiqueta Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00188,Resistor Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00189,Solvente PVC,REJEITADO,0,0,NCM vazio; Unidade 'GL' não padronizada
MAT-00190,Catalisador Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00191,Chave Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00192,Ácido Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00193,Fluido Inox,REJEITADO,0,0,NCM vazio; Unidade 'PCT' não padronizada
MAT-00194,Lâmpada Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00195,Chave Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00196,Papel Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00197,Caixa Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00198,Porca M12 Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00199,furadeira PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00200,Anel Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00201,Solvente Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00202,etiqueta Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00203,Bota Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00204,Válvula Cobre,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00205,suporte Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00206,Serra Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00207,Vedação Latão,REJEITADO,0,0,NCM vazio
MAT-00208,Capacete Inox,REJEITADO,0,0,NCM vazio; Unidade 'M²' não padronizada
MAT-00209,Cabo 16mm² Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00210,Grampeador Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00211,Válvula PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00212,Caneta Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00213,Parafuso M6 Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00214,Capacete Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00215,Mangueira Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00216,Mangueira PVC,REJEITADO,0,0,NCM vazio
MAT-00217,Rolamento PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00218,Lâmpada Aço,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00219,Bota Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00220,Graxa Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00221,Eixo em Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00222,Bucha Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00223,Lâmpada Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00224,Lâmpada Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00225,Anel Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00226,Martelo Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00227,clipe Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00228,Óleo PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00229,Pasta PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00230,Pasta Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00231,Presilha Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00232,Registro Alumínio,REJEITADO,0,0,NCM vazio
MAT-00233,Solvente Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00234,Óculos Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00235,Chave Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00236,Plástico Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00237,Óleo Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00238,bucha Inox,REJEITADO,0,0,NCM vazio; Unidade 'RL' não padronizada
MAT-00239,Módulo Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00240,Desinfetante em Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00241,Spray PVC,REJEITADO,0,0,NCM vazio
MAT-00242,Sensor Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00243,Caneta Cobre,REJEITADO,0,0,NCM vazio
MAT-00244,Gancho Cobre,REJEITADO,0,0,NCM vazio; Unidade 'RL' não padronizada
MAT-00245,Prego Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00246,Junta Plástico,REJEITADO,0,0,NCM vazio; Unidade 'GL' não padronizada
MAT-00247,Pasta PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00248,Fluido Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00249,Filtro Latão,REJEITADO,0,0,NCM vazio
MAT-00250,tomada PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00251,Óleo Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00252,Plástico PVC,REJEITADO,0,0,NCM vazio
MAT-00253,Lâmpada Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00254,Capacitor Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00255,Papelão Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00256,Etiqueta Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00257,LED Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00258,Módulo Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00259,"Tubo 3/4"" Aço",REJEITADO,0,0,NCM vazio
MAT-00260,Lâmpada Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00261,Desinfetante Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00262,Spray Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00263,Base Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00264,Abraçadeira Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00265,etiqueta Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00266,Fita Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00267,Resistor Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00268,Rolamento PVC,REJEITADO,0,0,NCM vazio
MAT-00269,Balde Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Preço inválido (deve ser > 0)
MAT-00270,Conexão Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00271,Fita Aço,REJEITADO,0,0,NCM vazio
MAT-00272,Máscara Latão,REJEITADO,0,0,NCM vazio
MAT-00273,Bucha Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00274,Martelo Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00275,Junta Plástico,REJEITADO,0,0,NCM vazio
MAT-00276,Anel Plástico,REJEITADO,0,0,NCM vazio
MAT-00277,Catalisador Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00278,Lâmpada Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00279,Base Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00280,Mangueira Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00281,Rolamento Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00282,Resistor Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00283,Junta Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00284,Catalisador Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00285,"Tubo 1.1/4"" Aço",REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00286,Filtro PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00287,Clips PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00288,Caneta Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00289,Tomada Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
